,time,value
2019-01-25 00:00:02,00:00:02,67
2019-01-25 00:00:12,00:00:12,64
2019-01-25 00:00:27,00:00:27,65
2019-01-25 00:00:32,00:00:32,60
2019-01-25 00:00:37,00:00:37,57
2019-01-25 00:00:42,00:00:42,55
2019-01-25 00:00:57,00:00:57,55
2019-01-25 00:01:07,00:01:07,56
2019-01-25 00:01:17,00:01:17,56
2019-01-25 00:01:22,00:01:22,56
2019-01-25 00:01:37,00:01:37,55
2019-01-25 00:01:42,00:01:42,54
2019-01-25 00:01:52,00:01:52,55
2019-01-25 00:02:02,00:02:02,56
2019-01-25 00:02:07,00:02:07,56
2019-01-25 00:02:12,00:02:12,57
2019-01-25 00:02:22,00:02:22,56
2019-01-25 00:02:27,00:02:27,54
2019-01-25 00:02:32,00:02:32,53
2019-01-25 00:02:42,00:02:42,54
2019-01-25 00:02:52,00:02:52,55
2019-01-25 00:02:57,00:02:57,56
2019-01-25 00:03:02,00:03:02,57
2019-01-25 00:03:12,00:03:12,58
2019-01-25 00:03:17,00:03:17,59
2019-01-25 00:03:22,00:03:22,58
2019-01-25 00:03:27,00:03:27,55
2019-01-25 00:03:32,00:03:32,54
2019-01-25 00:03:37,00:03:37,55
2019-01-25 00:03:42,00:03:42,56
2019-01-25 00:03:57,00:03:57,56
2019-01-25 00:04:02,00:04:02,57
2019-01-25 00:04:17,00:04:17,57
2019-01-25 00:04:32,00:04:32,55
2019-01-25 00:04:42,00:04:42,56
2019-01-25 00:04:47,00:04:47,57
2019-01-25 00:04:52,00:04:52,58
2019-01-25 00:04:57,00:04:57,59
2019-01-25 00:05:02,00:05:02,60
2019-01-25 00:05:07,00:05:07,58
2019-01-25 00:05:12,00:05:12,55
2019-01-25 00:05:20,00:05:20,55
2019-01-25 00:05:30,00:05:30,56
2019-01-25 00:05:35,00:05:35,54
2019-01-25 00:05:40,00:05:40,54
2019-01-25 00:05:45,00:05:45,54
2019-01-25 00:05:50,00:05:50,55
2019-01-25 00:06:05,00:06:05,55
2019-01-25 00:06:10,00:06:10,56
2019-01-25 00:06:20,00:06:20,55
2019-01-25 00:06:30,00:06:30,56
2019-01-25 00:06:40,00:06:40,55
2019-01-25 00:06:50,00:06:50,56
2019-01-25 00:06:55,00:06:55,56
2019-01-25 00:07:00,00:07:00,56
