,time,value
2019-01-10 00:00:00,00:00:00,54
2019-01-10 00:00:05,00:00:05,56
2019-01-10 00:00:10,00:00:10,57
2019-01-10 00:00:15,00:00:15,59
2019-01-10 00:00:20,00:00:20,61
2019-01-10 00:00:25,00:00:25,62
2019-01-10 00:00:30,00:00:30,65
2019-01-10 00:00:35,00:00:35,66
2019-01-10 00:00:40,00:00:40,67
2019-01-10 00:00:45,00:00:45,68
2019-01-10 00:00:50,00:00:50,67
2019-01-10 00:00:55,00:00:55,66
2019-01-10 00:01:00,00:01:00,64
2019-01-10 00:01:05,00:01:05,63
2019-01-10 00:01:10,00:01:10,61
2019-01-10 00:01:15,00:01:15,62
2019-01-10 00:01:20,00:01:20,61
2019-01-10 00:01:30,00:01:30,60
2019-01-10 00:01:40,00:01:40,62
2019-01-10 00:01:45,00:01:45,63
2019-01-10 00:01:50,00:01:50,64
2019-01-10 00:01:55,00:01:55,66
2019-01-10 00:02:00,00:02:00,69
2019-01-10 00:02:05,00:02:05,70
2019-01-10 00:02:15,00:02:15,72
2019-01-10 00:02:20,00:02:20,75
2019-01-10 00:02:25,00:02:25,77
2019-01-10 00:02:30,00:02:30,78
2019-01-10 00:02:35,00:02:35,77
2019-01-10 00:02:40,00:02:40,78
2019-01-10 00:02:50,00:02:50,74
2019-01-10 00:03:05,00:03:05,74
2019-01-10 00:03:15,00:03:15,70
2019-01-10 00:03:20,00:03:20,69
2019-01-10 00:03:30,00:03:30,68
2019-01-10 00:03:35,00:03:35,67
2019-01-10 00:03:40,00:03:40,64
2019-01-10 00:03:45,00:03:45,62
2019-01-10 00:03:50,00:03:50,60
2019-01-10 00:03:55,00:03:55,57
2019-01-10 00:04:00,00:04:00,55
2019-01-10 00:04:06,00:04:06,56
2019-01-10 00:04:11,00:04:11,58
2019-01-10 00:04:16,00:04:16,59
2019-01-10 00:04:21,00:04:21,59
2019-01-10 00:04:26,00:04:26,58
2019-01-10 00:04:31,00:04:31,57
2019-01-10 00:04:41,00:04:41,55
2019-01-10 00:04:56,00:04:56,54
2019-01-10 00:05:01,00:05:01,53
2019-01-10 00:05:06,00:05:06,52
