,time,value
2019-01-11 00:00:00,00:00:00,56
2019-01-11 00:00:05,00:00:05,57
2019-01-11 00:00:10,00:00:10,59
2019-01-11 00:00:15,00:00:15,61
2019-01-11 00:00:20,00:00:20,64
2019-01-11 00:00:35,00:00:35,61
2019-01-11 00:00:40,00:00:40,56
2019-01-11 00:00:45,00:00:45,53
2019-01-11 00:01:00,00:01:00,53
2019-01-11 00:01:05,00:01:05,54
2019-01-11 00:01:20,00:01:20,54
2019-01-11 00:01:35,00:01:35,54
2019-01-11 00:01:50,00:01:50,54
2019-01-11 00:01:55,00:01:55,55
2019-01-11 00:02:00,00:02:00,54
2019-01-11 00:02:15,00:02:15,54
2019-01-11 00:02:30,00:02:30,54
2019-01-11 00:02:35,00:02:35,55
2019-01-11 00:02:50,00:02:50,54
2019-01-11 00:02:55,00:02:55,55
2019-01-11 00:03:00,00:03:00,56
2019-01-11 00:03:15,00:03:15,56
2019-01-11 00:03:20,00:03:20,55
2019-01-11 00:03:35,00:03:35,56
2019-01-11 00:03:40,00:03:40,59
2019-01-11 00:03:55,00:03:55,59
2019-01-11 00:04:00,00:04:00,58
2019-01-11 00:04:10,00:04:10,59
2019-01-11 00:04:15,00:04:15,60
2019-01-11 00:04:25,00:04:25,61
2019-01-11 00:04:30,00:04:30,60
2019-01-11 00:04:35,00:04:35,59
2019-01-11 00:04:45,00:04:45,58
2019-01-11 00:05:00,00:05:00,57
2019-01-11 00:05:05,00:05:05,56
2019-01-11 00:05:15,00:05:15,55
2019-01-11 00:05:20,00:05:20,56
2019-01-11 00:05:30,00:05:30,58
2019-01-11 00:05:35,00:05:35,59
2019-01-11 00:05:45,00:05:45,58
2019-01-11 00:06:00,00:06:00,58
2019-01-11 00:06:15,00:06:15,58
2019-01-11 00:06:25,00:06:25,57
2019-01-11 00:06:30,00:06:30,54
2019-01-11 00:06:35,00:06:35,55
2019-01-11 00:06:40,00:06:40,56
2019-01-11 00:06:45,00:06:45,55
2019-01-11 00:07:00,00:07:00,56
2019-01-11 00:07:05,00:07:05,55
2019-01-11 00:07:15,00:07:15,57
2019-01-11 00:07:30,00:07:30,57
2019-01-11 00:07:45,00:07:45,57
2019-01-11 00:07:50,00:07:50,58
2019-01-11 00:07:55,00:07:55,57
2019-01-11 00:08:00,00:08:00,58
2019-01-11 00:08:05,00:08:05,60
2019-01-11 00:08:10,00:08:10,61
2019-01-11 00:08:15,00:08:15,60
2019-01-11 00:08:20,00:08:20,56
2019-01-11 00:08:25,00:08:25,55
2019-01-11 00:08:35,00:08:35,54
2019-01-11 00:08:40,00:08:40,52
2019-01-11 00:08:45,00:08:45,53
2019-01-11 00:09:00,00:09:00,52
2019-01-11 00:09:10,00:09:10,53
2019-01-11 00:09:25,00:09:25,53
2019-01-11 00:09:30,00:09:30,52
2019-01-11 00:09:40,00:09:40,53
2019-01-11 00:09:45,00:09:45,52
2019-01-11 00:09:50,00:09:50,53
2019-01-11 00:09:55,00:09:55,54
2019-01-11 00:10:10,00:10:10,55
2019-01-11 00:10:20,00:10:20,54
2019-01-11 00:10:30,00:10:30,55
2019-01-11 00:10:45,00:10:45,55
2019-01-11 00:10:50,00:10:50,60
2019-01-11 00:10:55,00:10:55,59
2019-01-11 00:11:00,00:11:00,59
2019-01-11 00:11:15,00:11:15,60
2019-01-11 00:11:25,00:11:25,61
2019-01-11 00:11:35,00:11:35,71
2019-01-11 00:11:40,00:11:40,76
2019-01-11 00:11:45,00:11:45,75
2019-01-11 00:12:00,00:12:00,75
2019-01-11 00:12:05,00:12:05,75
2019-01-11 00:12:20,00:12:20,74
2019-01-11 00:12:25,00:12:25,73
2019-01-11 00:12:40,00:12:40,72
2019-01-11 00:12:50,00:12:50,73
2019-01-11 00:12:55,00:12:55,73
2019-01-11 00:13:05,00:13:05,71
2019-01-11 00:13:15,00:13:15,70
2019-01-11 00:13:20,00:13:20,69
2019-01-11 00:13:25,00:13:25,68
2019-01-11 00:13:35,00:13:35,66
2019-01-11 00:13:40,00:13:40,64
2019-01-11 00:13:45,00:13:45,61
2019-01-11 00:13:50,00:13:50,57
2019-01-11 00:13:55,00:13:55,56
2019-01-11 00:14:00,00:14:00,55
2019-01-11 00:14:10,00:14:10,54
2019-01-11 00:14:25,00:14:25,54
2019-01-11 00:14:30,00:14:30,55
2019-01-11 00:14:35,00:14:35,56
2019-01-11 00:14:40,00:14:40,57
2019-01-11 00:14:45,00:14:45,59
2019-01-11 00:14:50,00:14:50,60
2019-01-11 00:14:55,00:14:55,61
2019-01-11 00:15:00,00:15:00,62
2019-01-11 00:15:05,00:15:05,61
2019-01-11 00:15:10,00:15:10,56
2019-01-11 00:15:16,00:15:16,55
2019-01-11 00:15:26,00:15:26,57
2019-01-11 00:15:31,00:15:31,58
2019-01-11 00:15:36,00:15:36,59
2019-01-11 00:15:41,00:15:41,58
2019-01-11 00:15:56,00:15:56,58
2019-01-11 00:16:11,00:16:11,59
2019-01-11 00:16:26,00:16:26,59
2019-01-11 00:16:31,00:16:31,61
2019-01-11 00:16:36,00:16:36,70
2019-01-11 00:16:46,00:16:46,71
2019-01-11 00:16:51,00:16:51,71
2019-01-11 00:16:56,00:16:56,70
2019-01-11 00:17:01,00:17:01,64
2019-01-11 00:17:06,00:17:06,58
2019-01-11 00:17:11,00:17:11,57
2019-01-11 00:17:26,00:17:26,58
2019-01-11 00:17:36,00:17:36,56
2019-01-11 00:17:41,00:17:41,55
2019-01-11 00:17:46,00:17:46,57
2019-01-11 00:17:51,00:17:51,58
2019-01-11 00:17:56,00:17:56,53
2019-01-11 00:18:01,00:18:01,52
2019-01-11 00:18:06,00:18:06,51
2019-01-11 00:18:16,00:18:16,50
2019-01-11 00:18:21,00:18:21,50
2019-01-11 00:18:26,00:18:26,50
2019-01-11 00:18:41,00:18:41,51
2019-01-11 00:18:46,00:18:46,50
2019-01-11 00:18:51,00:18:51,49
2019-01-11 00:18:56,00:18:56,48
2019-01-11 00:19:01,00:19:01,49
2019-01-11 00:19:06,00:19:06,50
2019-01-11 00:19:21,00:19:21,50
2019-01-11 00:19:26,00:19:26,50
2019-01-11 00:19:31,00:19:31,50
2019-01-11 00:19:46,00:19:46,50
2019-01-11 00:20:01,00:20:01,49
2019-01-11 00:20:16,00:20:16,51
2019-01-11 00:20:21,00:20:21,55
2019-01-11 00:20:26,00:20:26,54
2019-01-11 00:20:31,00:20:31,53
2019-01-11 00:20:36,00:20:36,51
2019-01-11 00:20:41,00:20:41,48
2019-01-11 00:20:46,00:20:46,48
2019-01-11 00:21:01,00:21:01,47
2019-01-11 00:21:11,00:21:11,48
2019-01-11 00:21:16,00:21:16,47
2019-01-11 00:21:21,00:21:21,45
2019-01-11 00:21:26,00:21:26,44
2019-01-11 00:21:31,00:21:31,43
2019-01-11 00:21:41,00:21:41,44
2019-01-11 00:21:46,00:21:46,46
2019-01-11 00:21:51,00:21:51,46
2019-01-11 00:21:56,00:21:56,47
2019-01-11 00:22:01,00:22:01,48
2019-01-11 00:22:16,00:22:16,48
2019-01-11 00:22:31,00:22:31,48
2019-01-11 00:22:36,00:22:36,46
2019-01-11 00:22:46,00:22:46,45
2019-01-11 00:22:56,00:22:56,46
2019-01-11 00:23:01,00:23:01,45
2019-01-11 00:23:11,00:23:11,46
2019-01-11 00:23:21,00:23:21,45
2019-01-11 00:23:26,00:23:26,46
2019-01-11 00:23:31,00:23:31,47
2019-01-11 00:23:46,00:23:46,48
2019-01-11 00:23:56,00:23:56,47
2019-01-11 00:24:01,00:24:01,46
2019-01-11 00:24:06,00:24:06,47
2019-01-11 00:24:21,00:24:21,47
2019-01-11 00:24:31,00:24:31,48
2019-01-11 00:24:36,00:24:36,51
2019-01-11 00:24:41,00:24:41,54
2019-01-11 00:24:51,00:24:51,53
2019-01-11 00:24:56,00:24:56,49
2019-01-11 00:25:01,00:25:01,47
2019-01-11 00:25:06,00:25:06,46
2019-01-11 00:25:11,00:25:11,45
2019-01-11 00:25:16,00:25:16,46
2019-01-11 00:25:21,00:25:21,46
2019-01-11 00:25:31,00:25:31,47
2019-01-11 00:25:41,00:25:41,48
2019-01-11 00:25:51,00:25:51,47
2019-01-11 00:25:56,00:25:56,46
2019-01-11 00:26:01,00:26:01,48
2019-01-11 00:26:06,00:26:06,49
2019-01-11 00:26:16,00:26:16,49
2019-01-11 00:26:31,00:26:31,49
2019-01-11 00:26:46,00:26:46,49
2019-01-11 00:27:01,00:27:01,49
2019-01-11 00:27:06,00:27:06,48
2019-01-11 00:27:16,00:27:16,48
2019-01-11 00:27:21,00:27:21,49
2019-01-11 00:27:31,00:27:31,50
2019-01-11 00:27:46,00:27:46,50
2019-01-11 00:27:51,00:27:51,48
2019-01-11 00:28:06,00:28:06,48
2019-01-11 00:28:21,00:28:21,46
2019-01-11 00:28:26,00:28:26,47
2019-01-11 00:28:31,00:28:31,46
2019-01-11 00:28:41,00:28:41,47
2019-01-11 00:28:56,00:28:56,47
2019-01-11 00:29:01,00:29:01,49
2019-01-11 00:29:16,00:29:16,49
2019-01-11 00:29:19,00:29:19,49
2019-01-11 00:29:29,00:29:29,48
2019-01-11 00:29:44,00:29:44,49
2019-01-11 00:29:49,00:29:49,50
2019-01-11 00:30:04,00:30:04,50
2019-01-11 00:30:09,00:30:09,49
2019-01-11 00:30:14,00:30:14,48
2019-01-11 00:30:24,00:30:24,46
2019-01-11 00:30:34,00:30:34,47
2019-01-11 00:30:49,00:30:49,47
2019-01-11 00:30:59,00:30:59,48
2019-01-11 00:31:04,00:31:04,50
2019-01-11 00:31:19,00:31:19,50
2019-01-11 00:31:24,00:31:24,49
2019-01-11 00:31:29,00:31:29,48
2019-01-11 00:31:34,00:31:34,47
2019-01-11 00:31:39,00:31:39,46
2019-01-11 00:31:44,00:31:44,47
2019-01-11 00:31:49,00:31:49,48
2019-01-11 00:31:54,00:31:54,53
2019-01-11 00:32:09,00:32:09,53
2019-01-11 00:32:24,00:32:24,52
2019-01-11 00:32:29,00:32:29,51
2019-01-11 00:32:34,00:32:34,50
2019-01-11 00:32:39,00:32:39,49
2019-01-11 00:32:44,00:32:44,47
2019-01-11 00:32:49,00:32:49,46
2019-01-11 00:32:54,00:32:54,45
2019-01-11 00:32:59,00:32:59,44
2019-01-11 00:33:04,00:33:04,45
2019-01-11 00:33:09,00:33:09,47
2019-01-11 00:33:14,00:33:14,54
2019-01-11 00:33:19,00:33:19,57
2019-01-11 00:33:24,00:33:24,58
2019-01-11 00:33:39,00:33:39,58
2019-01-11 00:33:49,00:33:49,61
2019-01-11 00:33:59,00:33:59,62
2019-01-11 00:34:04,00:34:04,63
2019-01-11 00:34:09,00:34:09,65
2019-01-11 00:34:14,00:34:14,68
2019-01-11 00:34:19,00:34:19,68
2019-01-11 00:34:24,00:34:24,66
2019-01-11 00:34:29,00:34:29,62
2019-01-11 00:34:34,00:34:34,58
2019-01-11 00:34:49,00:34:49,58
2019-01-11 00:34:54,00:34:54,59
2019-01-11 00:34:59,00:34:59,56
2019-01-11 00:35:04,00:35:04,54
2019-01-11 00:35:09,00:35:09,52
2019-01-11 00:35:24,00:35:24,52
2019-01-11 00:35:34,00:35:34,53
2019-01-11 00:35:49,00:35:49,53
2019-01-11 00:35:50,00:35:50,51
2019-01-11 00:36:05,00:36:05,48
2019-01-11 00:36:10,00:36:10,47
2019-01-11 00:36:15,00:36:15,46
2019-01-11 00:36:30,00:36:30,46
2019-01-11 00:36:45,00:36:45,46
2019-01-11 00:36:50,00:36:50,45
2019-01-11 00:36:55,00:36:55,46
2019-01-11 00:37:10,00:37:10,47
2019-01-11 00:37:20,00:37:20,48
2019-01-11 00:37:30,00:37:30,50
2019-01-11 00:37:35,00:37:35,52
2019-01-11 00:37:40,00:37:40,53
2019-01-11 00:37:45,00:37:45,54
2019-01-11 00:37:55,00:37:55,56
2019-01-11 00:38:00,00:38:00,57
2019-01-11 00:38:05,00:38:05,58
