,time,value
2019-01-22 00:00:04,00:00:04,70
2019-01-22 00:00:09,00:00:09,72
2019-01-22 00:00:14,00:00:14,74
2019-01-22 00:00:19,00:00:19,73
2019-01-22 00:00:24,00:00:24,71
2019-01-22 00:00:29,00:00:29,73
2019-01-22 00:00:34,00:00:34,74
2019-01-22 00:00:44,00:00:44,72
2019-01-22 00:00:49,00:00:49,68
2019-01-22 00:00:54,00:00:54,66
2019-01-22 00:01:04,00:01:04,64
2019-01-22 00:01:09,00:01:09,61
2019-01-22 00:01:14,00:01:14,59
2019-01-22 00:01:19,00:01:19,58
2019-01-22 00:01:24,00:01:24,55
2019-01-22 00:01:29,00:01:29,54
2019-01-22 00:01:39,00:01:39,55
2019-01-22 00:01:44,00:01:44,57
2019-01-22 00:01:49,00:01:49,60
2019-01-22 00:01:54,00:01:54,61
2019-01-22 00:01:59,00:01:59,63
2019-01-22 00:02:14,00:02:14,63
2019-01-22 00:02:19,00:02:19,64
2019-01-22 00:02:24,00:02:24,65
2019-01-22 00:02:29,00:02:29,67
2019-01-22 00:02:34,00:02:34,69
2019-01-22 00:02:39,00:02:39,71
2019-01-22 00:02:44,00:02:44,73
2019-01-22 00:02:49,00:02:49,73
2019-01-22 00:02:54,00:02:54,74
2019-01-22 00:02:59,00:02:59,74
2019-01-22 00:03:04,00:03:04,74
2019-01-22 00:03:09,00:03:09,73
2019-01-22 00:03:14,00:03:14,71
2019-01-22 00:03:19,00:03:19,70
2019-01-22 00:03:24,00:03:24,71
2019-01-22 00:03:39,00:03:39,71
2019-01-22 00:03:44,00:03:44,73
2019-01-22 00:03:54,00:03:54,74
2019-01-22 00:03:59,00:03:59,75
2019-01-22 00:04:04,00:04:04,73
2019-01-22 00:04:09,00:04:09,73
2019-01-22 00:04:14,00:04:14,75
2019-01-22 00:04:19,00:04:19,78
2019-01-22 00:04:24,00:04:24,80
2019-01-22 00:04:29,00:04:29,80
2019-01-22 00:04:39,00:04:39,79
2019-01-22 00:04:44,00:04:44,76
2019-01-22 00:04:49,00:04:49,74
2019-01-22 00:04:54,00:04:54,73
2019-01-22 00:04:59,00:04:59,71
2019-01-22 00:05:04,00:05:04,67
2019-01-22 00:05:09,00:05:09,66
2019-01-22 00:05:14,00:05:14,67
2019-01-22 00:05:24,00:05:24,65
2019-01-22 00:05:34,00:05:34,67
2019-01-22 00:05:39,00:05:39,65
2019-01-22 00:05:44,00:05:44,64
2019-01-22 00:05:49,00:05:49,65
2019-01-22 00:05:59,00:05:59,66
2019-01-22 00:06:09,00:06:09,67
2019-01-22 00:06:14,00:06:14,66
2019-01-22 00:06:19,00:06:19,63
2019-01-22 00:06:24,00:06:24,62
2019-01-22 00:06:29,00:06:29,63
2019-01-22 00:06:34,00:06:34,64
2019-01-22 00:06:39,00:06:39,66
2019-01-22 00:06:44,00:06:44,67
2019-01-22 00:06:49,00:06:49,66
2019-01-22 00:07:04,00:07:04,67
2019-01-22 00:07:14,00:07:14,70
2019-01-22 00:07:19,00:07:19,71
2019-01-22 00:07:24,00:07:24,72
2019-01-22 00:07:29,00:07:29,71
2019-01-22 00:07:34,00:07:34,69
2019-01-22 00:07:39,00:07:39,67
2019-01-22 00:07:44,00:07:44,67
2019-01-22 00:07:49,00:07:49,68
2019-01-22 00:08:04,00:08:04,68
2019-01-22 00:08:09,00:08:09,69
2019-01-22 00:08:14,00:08:14,71
2019-01-22 00:08:19,00:08:19,72
2019-01-22 00:08:29,00:08:29,73
2019-01-22 00:08:39,00:08:39,75
2019-01-22 00:08:49,00:08:49,74
2019-01-22 00:08:54,00:08:54,72
2019-01-22 00:08:59,00:08:59,69
2019-01-22 00:09:04,00:09:04,68
2019-01-22 00:09:09,00:09:09,70
2019-01-22 00:09:14,00:09:14,71
2019-01-22 00:09:19,00:09:19,74
2019-01-22 00:09:24,00:09:24,75
2019-01-22 00:09:29,00:09:29,72
2019-01-22 00:09:34,00:09:34,64
2019-01-22 00:09:39,00:09:39,65
2019-01-22 00:09:44,00:09:44,66
2019-01-22 00:09:49,00:09:49,67
2019-01-22 00:09:54,00:09:54,68
2019-01-22 00:09:59,00:09:59,67
