,time,value
2019-01-23 00:00:12,00:00:12,50
2019-01-23 00:00:22,00:00:22,49
2019-01-23 00:00:37,00:00:37,49
2019-01-23 00:00:47,00:00:47,50
2019-01-23 00:00:52,00:00:52,49
2019-01-23 00:01:07,00:01:07,49
2019-01-23 00:01:22,00:01:22,50
2019-01-23 00:01:27,00:01:27,53
2019-01-23 00:01:32,00:01:32,54
2019-01-23 00:01:37,00:01:37,55
2019-01-23 00:01:47,00:01:47,54
2019-01-23 00:01:52,00:01:52,51
2019-01-23 00:01:57,00:01:57,50
2019-01-23 00:02:12,00:02:12,50
2019-01-23 00:02:27,00:02:27,50
2019-01-23 00:02:37,00:02:37,51
2019-01-23 00:02:42,00:02:42,51
2019-01-23 00:02:52,00:02:52,53
2019-01-23 00:02:57,00:02:57,61
2019-01-23 00:03:02,00:03:02,63
2019-01-23 00:03:07,00:03:07,65
2019-01-23 00:03:17,00:03:17,66
2019-01-23 00:03:22,00:03:22,67
2019-01-23 00:03:32,00:03:32,63
2019-01-23 00:03:37,00:03:37,58
2019-01-23 00:03:42,00:03:42,54
2019-01-23 00:03:47,00:03:47,52
2019-01-23 00:03:52,00:03:52,51
2019-01-23 00:03:57,00:03:57,50
2019-01-23 00:04:02,00:04:02,50
2019-01-23 00:04:07,00:04:07,49
2019-01-23 00:04:12,00:04:12,48
2019-01-23 00:04:22,00:04:22,49
2019-01-23 00:04:27,00:04:27,50
2019-01-23 00:04:32,00:04:32,51
2019-01-23 00:04:37,00:04:37,50
2019-01-23 00:04:42,00:04:42,50
2019-01-23 00:04:47,00:04:47,49
2019-01-23 00:05:02,00:05:02,49
2019-01-23 00:05:07,00:05:07,50
2019-01-23 00:05:12,00:05:12,49
2019-01-23 00:05:17,00:05:17,48
2019-01-23 00:05:22,00:05:22,48
2019-01-23 00:05:27,00:05:27,49
2019-01-23 00:05:32,00:05:32,50
2019-01-23 00:05:37,00:05:37,51
2019-01-23 00:05:42,00:05:42,52
2019-01-23 00:05:47,00:05:47,51
2019-01-23 00:05:57,00:05:57,50
2019-01-23 00:06:02,00:06:02,50
2019-01-23 00:06:12,00:06:12,51
2019-01-23 00:06:17,00:06:17,52
2019-01-23 00:06:22,00:06:22,54
2019-01-23 00:06:27,00:06:27,56
2019-01-23 00:06:32,00:06:32,54
2019-01-23 00:06:37,00:06:37,54
2019-01-23 00:06:52,00:06:52,54
2019-01-23 00:06:57,00:06:57,55
2019-01-23 00:07:02,00:07:02,58
2019-01-23 00:07:07,00:07:07,56
2019-01-23 00:07:12,00:07:12,56
2019-01-23 00:07:27,00:07:27,56
2019-01-23 00:07:32,00:07:32,55
2019-01-23 00:07:37,00:07:37,54
2019-01-23 00:07:42,00:07:42,63
2019-01-23 00:07:47,00:07:47,67
2019-01-23 00:08:02,00:08:02,67
2019-01-23 00:08:17,00:08:17,66
2019-01-23 00:08:27,00:08:27,66
2019-01-23 00:08:37,00:08:37,66
2019-01-23 00:08:42,00:08:42,64
2019-01-23 00:08:47,00:08:47,63
2019-01-23 00:08:52,00:08:52,58
2019-01-23 00:08:57,00:08:57,57
2019-01-23 00:09:02,00:09:02,57
2019-01-23 00:09:07,00:09:07,57
2019-01-23 00:09:12,00:09:12,59
2019-01-23 00:09:17,00:09:17,60
2019-01-23 00:09:22,00:09:22,58
2019-01-23 00:09:27,00:09:27,56
2019-01-23 00:09:32,00:09:32,53
2019-01-23 00:09:37,00:09:37,52
2019-01-23 00:09:42,00:09:42,51
2019-01-23 00:09:52,00:09:52,52
2019-01-23 00:10:02,00:10:02,52
2019-01-23 00:10:07,00:10:07,53
2019-01-23 00:10:12,00:10:12,54
2019-01-23 00:10:27,00:10:27,53
2019-01-23 00:10:32,00:10:32,51
2019-01-23 00:10:37,00:10:37,48
2019-01-23 00:10:52,00:10:52,48
2019-01-23 00:11:02,00:11:02,50
2019-01-23 00:11:07,00:11:07,50
2019-01-23 00:11:22,00:11:22,58
2019-01-23 00:11:27,00:11:27,65
2019-01-23 00:11:32,00:11:32,66
2019-01-23 00:11:37,00:11:37,63
2019-01-23 00:11:42,00:11:42,65
2019-01-23 00:11:47,00:11:47,66
2019-01-23 00:11:52,00:11:52,61
2019-01-23 00:11:57,00:11:57,57
2019-01-23 00:12:02,00:12:02,54
2019-01-23 00:12:07,00:12:07,52
2019-01-23 00:12:22,00:12:22,53
2019-01-23 00:12:37,00:12:37,58
2019-01-23 00:12:42,00:12:42,67
2019-01-23 00:12:47,00:12:47,64
2019-01-23 00:12:52,00:12:52,61
2019-01-23 00:12:57,00:12:57,56
2019-01-23 00:13:02,00:13:02,56
2019-01-23 00:13:12,00:13:12,55
2019-01-23 00:13:18,00:13:18,53
2019-01-23 00:13:23,00:13:23,52
2019-01-23 00:13:28,00:13:28,53
2019-01-23 00:13:33,00:13:33,57
2019-01-23 00:13:38,00:13:38,61
2019-01-23 00:13:43,00:13:43,66
2019-01-23 00:13:48,00:13:48,67
2019-01-23 00:13:53,00:13:53,66
2019-01-23 00:13:58,00:13:58,65
2019-01-23 00:14:08,00:14:08,64
2019-01-23 00:14:13,00:14:13,60
2019-01-23 00:14:18,00:14:18,56
2019-01-23 00:14:23,00:14:23,53
2019-01-23 00:14:28,00:14:28,52
2019-01-23 00:14:33,00:14:33,51
2019-01-23 00:14:38,00:14:38,51
2019-01-23 00:14:43,00:14:43,52
2019-01-23 00:14:48,00:14:48,54
2019-01-23 00:14:53,00:14:53,56
2019-01-23 00:15:03,00:15:03,55
2019-01-23 00:15:08,00:15:08,54
2019-01-23 00:15:13,00:15:13,54
2019-01-23 00:15:18,00:15:18,53
2019-01-23 00:15:23,00:15:23,53
2019-01-23 00:15:38,00:15:38,53
2019-01-23 00:15:43,00:15:43,63
2019-01-23 00:15:48,00:15:48,65
2019-01-23 00:15:53,00:15:53,64
2019-01-23 00:16:08,00:16:08,63
2019-01-23 00:16:13,00:16:13,61
2019-01-23 00:16:18,00:16:18,59
2019-01-23 00:16:23,00:16:23,58
2019-01-23 00:16:28,00:16:28,56
2019-01-23 00:16:33,00:16:33,55
2019-01-23 00:16:38,00:16:38,54
2019-01-23 00:16:43,00:16:43,53
2019-01-23 00:16:58,00:16:58,53
2019-01-23 00:17:08,00:17:08,52
