,time,value
2019-01-06 00:00:04,00:00:04,81
2019-01-06 00:00:14,00:00:14,77
2019-01-06 00:00:19,00:00:19,75
2019-01-06 00:00:29,00:00:29,76
2019-01-06 00:00:39,00:00:39,77
2019-01-06 00:00:44,00:00:44,78
2019-01-06 00:00:49,00:00:49,83
2019-01-06 00:00:58,00:00:58,85
2019-01-06 00:01:13,00:01:13,85
2019-01-06 00:01:28,00:01:28,85
2019-01-06 00:01:33,00:01:33,85
2019-01-06 00:01:48,00:01:48,85
2019-01-06 00:05:40,00:05:40,77
2019-01-06 00:05:45,00:05:45,75
2019-01-06 00:05:50,00:05:50,74
2019-01-06 00:05:55,00:05:55,73
2019-01-06 00:06:00,00:06:00,71
2019-01-06 00:06:05,00:06:05,72
2019-01-06 00:06:10,00:06:10,69
2019-01-06 00:06:15,00:06:15,61
2019-01-06 00:06:20,00:06:20,54
2019-01-06 00:06:35,00:06:35,53
2019-01-06 00:06:40,00:06:40,52
2019-01-06 00:06:45,00:06:45,51
2019-01-06 00:07:00,00:07:00,51
2019-01-06 00:07:05,00:07:05,52
2019-01-06 00:07:15,00:07:15,53
2019-01-06 00:07:30,00:07:30,54
2019-01-06 00:07:35,00:07:35,55
2019-01-06 00:07:45,00:07:45,54
2019-01-06 00:07:50,00:07:50,53
2019-01-06 00:07:55,00:07:55,52
2019-01-06 00:08:10,00:08:10,52
2019-01-06 00:08:25,00:08:25,52
2019-01-06 00:08:40,00:08:40,53
2019-01-06 00:08:45,00:08:45,52
2019-01-06 00:09:00,00:09:00,52
2019-01-06 00:09:15,00:09:15,52
2019-01-06 00:09:16,00:09:16,52
2019-01-06 00:09:31,00:09:31,52
2019-01-06 00:09:41,00:09:41,53
2019-01-06 00:09:51,00:09:51,54
2019-01-06 00:10:06,00:10:06,54
2019-01-06 00:10:21,00:10:21,53
2019-01-06 00:10:36,00:10:36,53
2019-01-06 00:10:46,00:10:46,52
2019-01-06 00:10:51,00:10:51,51
2019-01-06 00:11:01,00:11:01,52
2019-01-06 00:11:16,00:11:16,52
2019-01-06 00:11:31,00:11:31,52
2019-01-06 00:11:41,00:11:41,53
2019-01-06 00:11:46,00:11:46,54
2019-01-06 00:12:01,00:12:01,54
2019-01-06 00:12:06,00:12:06,55
2019-01-06 00:12:21,00:12:21,55
2019-01-06 00:12:26,00:12:26,56
2019-01-06 00:12:31,00:12:31,57
2019-01-06 00:12:36,00:12:36,58
2019-01-06 00:12:41,00:12:41,59
2019-01-06 00:12:51,00:12:51,58
2019-01-06 00:12:56,00:12:56,59
2019-01-06 00:13:06,00:13:06,60
2019-01-06 00:13:11,00:13:11,61
2019-01-06 00:13:16,00:13:16,59
2019-01-06 00:13:21,00:13:21,58
2019-01-06 00:13:30,00:13:30,58
2019-01-06 00:13:40,00:13:40,58
2019-01-06 00:13:50,00:13:50,59
2019-01-06 00:14:00,00:14:00,60
2019-01-06 00:14:05,00:14:05,61
2019-01-06 00:14:20,00:14:20,61
2019-01-06 00:14:30,00:14:30,63
2019-01-06 00:14:35,00:14:35,65
2019-01-06 00:14:40,00:14:40,64
2019-01-06 00:14:45,00:14:45,63
2019-01-06 00:14:50,00:14:50,59
2019-01-06 00:14:55,00:14:55,57
2019-01-06 00:15:00,00:15:00,56
2019-01-06 00:15:05,00:15:05,55
2019-01-06 00:15:20,00:15:20,55
2019-01-06 00:15:30,00:15:30,56
2019-01-06 00:15:40,00:15:40,55
2019-01-06 00:15:50,00:15:50,54
2019-01-06 00:16:05,00:16:05,54
2019-01-06 00:17:09,00:17:09,54
2019-01-06 00:17:19,00:17:19,55
2019-01-06 00:17:24,00:17:24,56
2019-01-06 00:17:29,00:17:29,57
2019-01-06 00:17:34,00:17:34,59
2019-01-06 00:17:39,00:17:39,61
2019-01-06 00:17:44,00:17:44,63
2019-01-06 00:17:54,00:17:54,64
2019-01-06 00:17:59,00:17:59,65
2019-01-06 00:18:14,00:18:14,64
2019-01-06 00:18:19,00:18:19,61
2019-01-06 00:18:24,00:18:24,57
2019-01-06 00:18:29,00:18:29,55
2019-01-06 00:18:34,00:18:34,55
2019-01-06 00:18:39,00:18:39,56
2019-01-06 00:18:54,00:18:54,55
2019-01-06 00:19:09,00:19:09,55
2019-01-06 00:19:14,00:19:14,55
2019-01-06 00:19:19,00:19:19,54
2019-01-06 00:19:24,00:19:24,54
2019-01-06 00:19:39,00:19:39,53
2019-01-06 00:19:49,00:19:49,54
2019-01-06 00:20:04,00:20:04,54
2019-01-06 00:20:19,00:20:19,54
2019-01-06 00:20:29,00:20:29,55
2019-01-06 00:20:34,00:20:34,56
2019-01-06 00:20:39,00:20:39,57
2019-01-06 00:20:44,00:20:44,58
2019-01-06 00:20:49,00:20:49,60
2019-01-06 00:20:54,00:20:54,59
