,time,value
2019-01-08 00:00:06,00:00:06,54
2019-01-08 00:00:11,00:00:11,49
2019-01-08 00:00:16,00:00:16,46
2019-01-08 00:00:26,00:00:26,47
2019-01-08 00:00:36,00:00:36,48
2019-01-08 00:00:41,00:00:41,49
2019-01-08 00:00:46,00:00:46,48
2019-01-08 00:00:51,00:00:51,49
2019-01-08 00:01:01,00:01:01,51
2019-01-08 00:01:06,00:01:06,53
2019-01-08 00:01:11,00:01:11,49
2019-01-08 00:01:16,00:01:16,47
2019-01-08 00:01:31,00:01:31,48
2019-01-08 00:01:36,00:01:36,47
2019-01-08 00:01:51,00:01:51,47
2019-01-08 00:01:56,00:01:56,48
2019-01-08 00:02:01,00:02:01,49
2019-01-08 00:02:06,00:02:06,50
2019-01-08 00:02:16,00:02:16,49
2019-01-08 00:02:21,00:02:21,48
2019-01-08 00:02:36,00:02:36,47
2019-01-08 00:02:46,00:02:46,48
2019-01-08 00:02:51,00:02:51,49
2019-01-08 00:03:06,00:03:06,54
2019-01-08 00:03:11,00:03:11,62
2019-01-08 00:03:16,00:03:16,63
2019-01-08 00:03:21,00:03:21,67
2019-01-08 00:03:26,00:03:26,66
2019-01-08 00:03:31,00:03:31,58
2019-01-08 00:03:36,00:03:36,52
2019-01-08 00:03:41,00:03:41,49
2019-01-08 00:03:46,00:03:46,48
2019-01-08 00:03:56,00:03:56,49
2019-01-08 00:04:01,00:04:01,50
2019-01-08 00:04:16,00:04:16,50
2019-01-08 00:04:21,00:04:21,48
2019-01-08 00:04:26,00:04:26,47
2019-01-08 00:04:41,00:04:41,47
2019-01-08 00:04:51,00:04:51,48
2019-01-08 00:04:56,00:04:56,47
2019-01-08 00:05:11,00:05:11,47
2019-01-08 00:05:16,00:05:16,49
2019-01-08 00:05:21,00:05:21,52
2019-01-08 00:05:26,00:05:26,51
2019-01-08 00:05:31,00:05:31,49
2019-01-08 00:05:36,00:05:36,47
2019-01-08 00:05:46,00:05:46,46
2019-01-08 00:05:51,00:05:51,47
2019-01-08 00:06:06,00:06:06,47
2019-01-08 00:06:11,00:06:11,48
2019-01-08 00:06:16,00:06:16,50
2019-01-08 00:06:21,00:06:21,48
2019-01-08 00:06:26,00:06:26,47
2019-01-08 00:06:31,00:06:31,48
2019-01-08 00:06:38,00:06:38,48
2019-01-08 00:06:53,00:06:53,49
2019-01-08 00:07:08,00:07:08,49
2019-01-08 00:07:13,00:07:13,48
2019-01-08 00:07:23,00:07:23,47
2019-01-08 00:07:38,00:07:38,47
2019-01-08 00:07:53,00:07:53,47
2019-01-08 00:08:08,00:08:08,47
2019-01-08 00:08:18,00:08:18,48
2019-01-08 00:08:33,00:08:33,48
2019-01-08 00:08:43,00:08:43,49
2019-01-08 00:08:53,00:08:53,50
2019-01-08 00:08:58,00:08:58,49
2019-01-08 00:09:03,00:09:03,48
2019-01-08 00:09:13,00:09:13,49
2019-01-08 00:09:18,00:09:18,49
2019-01-08 00:09:28,00:09:28,48
2019-01-08 00:09:43,00:09:43,48
2019-01-08 00:09:53,00:09:53,49
2019-01-08 00:09:58,00:09:58,50
2019-01-08 00:10:03,00:10:03,50
2019-01-08 00:10:13,00:10:13,49
2019-01-08 00:10:18,00:10:18,46
2019-01-08 00:10:23,00:10:23,45
2019-01-08 00:10:28,00:10:28,47
2019-01-08 00:10:33,00:10:33,48
2019-01-08 00:10:38,00:10:38,50
2019-01-08 00:10:46,00:10:46,49
2019-01-08 00:10:56,00:10:56,48
2019-01-08 00:11:01,00:11:01,47
2019-01-08 00:11:06,00:11:06,48
2019-01-08 00:11:21,00:11:21,48
2019-01-08 00:11:26,00:11:26,46
2019-01-08 00:11:36,00:11:36,47
2019-01-08 00:11:41,00:11:41,46
2019-01-08 00:11:51,00:11:51,47
2019-01-08 00:12:01,00:12:01,48
2019-01-08 00:12:16,00:12:16,48
2019-01-08 00:12:21,00:12:21,49
2019-01-08 00:12:26,00:12:26,50
2019-01-08 00:12:31,00:12:31,49
2019-01-08 00:12:36,00:12:36,48
2019-01-08 00:12:46,00:12:46,47
2019-01-08 00:12:51,00:12:51,48
2019-01-08 00:12:56,00:12:56,51
2019-01-08 00:13:01,00:13:01,53
2019-01-08 00:13:06,00:13:06,50
2019-01-08 00:13:11,00:13:11,48
2019-01-08 00:13:16,00:13:16,46
2019-01-08 00:13:31,00:13:31,46
2019-01-08 00:13:46,00:13:46,47
2019-01-08 00:14:01,00:14:01,47
2019-01-08 00:14:16,00:14:16,50
2019-01-08 00:14:26,00:14:26,51
2019-01-08 00:14:31,00:14:31,52
2019-01-08 00:14:36,00:14:36,50
2019-01-08 00:14:41,00:14:41,48
2019-01-08 00:14:46,00:14:46,47
2019-01-08 00:14:51,00:14:51,46
2019-01-08 00:15:06,00:15:06,46
2019-01-08 00:15:11,00:15:11,48
2019-01-08 00:15:16,00:15:16,47
2019-01-08 00:15:26,00:15:26,48
2019-01-08 00:15:31,00:15:31,50
2019-01-08 00:15:36,00:15:36,49
2019-01-08 00:15:46,00:15:46,47
2019-01-08 00:15:51,00:15:51,46
2019-01-08 00:16:06,00:16:06,46
2019-01-08 00:16:11,00:16:11,48
2019-01-08 00:16:16,00:16:16,47
2019-01-08 00:16:21,00:16:21,46
2019-01-08 00:16:26,00:16:26,45
2019-01-08 00:16:36,00:16:36,47
2019-01-08 00:16:46,00:16:46,48
2019-01-08 00:16:51,00:16:51,47
2019-01-08 00:17:06,00:17:06,47
2019-01-08 00:17:11,00:17:11,48
2019-01-08 00:17:26,00:17:26,48
2019-01-08 00:17:41,00:17:41,47
2019-01-08 00:17:44,00:17:44,48
2019-01-08 00:17:49,00:17:49,47
2019-01-08 00:17:54,00:17:54,46
2019-01-08 00:18:09,00:18:09,47
2019-01-08 00:18:14,00:18:14,48
2019-01-08 00:18:24,00:18:24,47
2019-01-08 00:18:29,00:18:29,46
2019-01-08 00:18:44,00:18:44,46
2019-01-08 00:18:49,00:18:49,47
2019-01-08 00:19:04,00:19:04,46
2019-01-08 00:19:19,00:19:19,47
2019-01-08 00:19:24,00:19:24,48
2019-01-08 00:19:39,00:19:39,47
2019-01-08 00:19:49,00:19:49,48
2019-01-08 00:19:54,00:19:54,49
2019-01-08 00:19:59,00:19:59,48
2019-01-08 00:20:09,00:20:09,50
2019-01-08 00:20:14,00:20:14,48
2019-01-08 00:20:19,00:20:19,46
2019-01-08 00:20:29,00:20:29,47
2019-01-08 00:20:34,00:20:34,48
2019-01-08 00:20:39,00:20:39,47
2019-01-08 00:20:49,00:20:49,48
2019-01-08 00:20:54,00:20:54,47
2019-01-08 00:21:09,00:21:09,47
2019-01-08 00:21:14,00:21:14,48
2019-01-08 00:21:19,00:21:19,47
2019-01-08 00:21:28,00:21:28,47
2019-01-08 00:21:43,00:21:43,47
2019-01-08 00:21:58,00:21:58,47
2019-01-08 00:22:03,00:22:03,46
2019-01-08 00:22:08,00:22:08,47
2019-01-08 00:22:23,00:22:23,47
2019-01-08 00:22:28,00:22:28,48
2019-01-08 00:22:33,00:22:33,47
2019-01-08 00:22:48,00:22:48,47
2019-01-08 00:22:58,00:22:58,46
2019-01-08 00:23:08,00:23:08,47
2019-01-08 00:23:13,00:23:13,46
2019-01-08 00:23:28,00:23:28,47
2019-01-08 00:23:33,00:23:33,48
2019-01-08 00:23:43,00:23:43,49
2019-01-08 00:23:48,00:23:48,48
2019-01-08 00:24:03,00:24:03,49
2019-01-08 00:24:18,00:24:18,48
2019-01-08 00:24:23,00:24:23,47
2019-01-08 00:24:33,00:24:33,46
2019-01-08 00:24:48,00:24:48,46
2019-01-08 00:25:03,00:25:03,45
2019-01-08 00:25:13,00:25:13,44
2019-01-08 00:25:23,00:25:23,46
2019-01-08 00:25:33,00:25:33,45
2019-01-08 00:25:48,00:25:48,47
2019-01-08 00:26:03,00:26:03,47
2019-01-08 00:26:08,00:26:08,46
2019-01-08 00:26:23,00:26:23,47
2019-01-08 00:26:38,00:26:38,47
2019-01-08 00:26:43,00:26:43,48
2019-01-08 00:26:53,00:26:53,48
2019-01-08 00:26:58,00:26:58,47
2019-01-08 00:27:13,00:27:13,47
2019-01-08 00:27:18,00:27:18,46
2019-01-08 00:27:28,00:27:28,47
2019-01-08 00:27:43,00:27:43,47
2019-01-08 00:27:48,00:27:48,49
2019-01-08 00:27:53,00:27:53,48
2019-01-08 00:27:58,00:27:58,47
2019-01-08 00:28:08,00:28:08,46
2019-01-08 00:28:23,00:28:23,46
2019-01-08 00:28:28,00:28:28,47
2019-01-08 00:28:33,00:28:33,46
2019-01-08 00:28:48,00:28:48,46
2019-01-08 00:28:53,00:28:53,46
2019-01-08 00:29:03,00:29:03,47
2019-01-08 00:29:13,00:29:13,46
2019-01-08 00:29:28,00:29:28,46
2019-01-08 00:29:38,00:29:38,47
2019-01-08 00:29:48,00:29:48,48
2019-01-08 00:29:54,00:29:54,47
2019-01-08 00:30:04,00:30:04,46
2019-01-08 00:30:14,00:30:14,47
2019-01-08 00:30:19,00:30:19,48
2019-01-08 00:30:24,00:30:24,47
2019-01-08 00:30:29,00:30:29,46
2019-01-08 00:30:34,00:30:34,47
2019-01-08 00:30:44,00:30:44,46
2019-01-08 00:30:49,00:30:49,45
2019-01-08 00:31:04,00:31:04,45
2019-01-08 00:31:09,00:31:09,46
2019-01-08 00:31:14,00:31:14,48
2019-01-08 00:31:24,00:31:24,47
2019-01-08 00:31:34,00:31:34,46
2019-01-08 00:31:44,00:31:44,45
2019-01-08 00:31:54,00:31:54,46
2019-01-08 00:32:04,00:32:04,47
2019-01-08 00:32:19,00:32:19,47
2019-01-08 00:32:29,00:32:29,49
2019-01-08 00:32:34,00:32:34,48
2019-01-08 00:32:39,00:32:39,46
2019-01-08 00:32:49,00:32:49,47
2019-01-08 00:33:04,00:33:04,47
2019-01-08 00:33:19,00:33:19,47
2019-01-08 00:33:29,00:33:29,48
2019-01-08 00:33:34,00:33:34,47
2019-01-08 00:33:39,00:33:39,46
2019-01-08 00:33:45,00:33:45,46
2019-01-08 00:33:50,00:33:50,47
2019-01-08 00:34:00,00:34:00,46
2019-01-08 00:34:10,00:34:10,47
2019-01-08 00:34:15,00:34:15,48
2019-01-08 00:34:30,00:34:30,48
2019-01-08 00:34:40,00:34:40,47
2019-01-08 00:34:55,00:34:55,47
2019-01-08 00:35:00,00:35:00,48
2019-01-08 00:35:15,00:35:15,47
2019-01-08 00:35:25,00:35:25,46
2019-01-08 00:35:40,00:35:40,47
2019-01-08 00:35:45,00:35:45,48
2019-01-08 00:35:50,00:35:50,47
2019-01-08 00:36:00,00:36:00,48
2019-01-08 00:36:05,00:36:05,47
2019-01-08 00:36:20,00:36:20,48
2019-01-08 00:36:25,00:36:25,47
2019-01-08 00:36:30,00:36:30,45
2019-01-08 00:36:35,00:36:35,46
2019-01-08 00:36:45,00:36:45,47
2019-01-08 00:37:00,00:37:00,46
2019-01-08 00:37:15,00:37:15,46
2019-01-08 00:37:20,00:37:20,47
2019-01-08 00:37:30,00:37:30,46
2019-01-08 00:37:40,00:37:40,47
2019-01-08 00:37:50,00:37:50,48
2019-01-08 00:37:55,00:37:55,48
2019-01-08 00:38:05,00:38:05,47
2019-01-08 00:38:10,00:38:10,48
2019-01-08 00:38:15,00:38:15,47
2019-01-08 00:38:30,00:38:30,45
2019-01-08 00:38:45,00:38:45,46
2019-01-08 00:38:50,00:38:50,48
2019-01-08 00:38:55,00:38:55,47
2019-01-08 00:39:00,00:39:00,48
2019-01-08 00:39:15,00:39:15,48
2019-01-08 00:39:25,00:39:25,47
2019-01-08 00:39:40,00:39:40,47
2019-01-08 00:39:55,00:39:55,48
2019-01-08 00:40:00,00:40:00,49
2019-01-08 00:40:05,00:40:05,47
2019-01-08 00:40:10,00:40:10,46
2019-01-08 00:40:15,00:40:15,45
2019-01-08 00:40:20,00:40:20,46
2019-01-08 00:40:25,00:40:25,48
2019-01-08 00:40:30,00:40:30,47
2019-01-08 00:40:35,00:40:35,46
2019-01-08 00:40:45,00:40:45,47
2019-01-08 00:41:00,00:41:00,48
2019-01-08 00:41:05,00:41:05,46
2019-01-08 00:41:10,00:41:10,45
2019-01-08 00:41:15,00:41:15,46
2019-01-08 00:41:20,00:41:20,47
2019-01-08 00:41:25,00:41:25,47
2019-01-08 00:41:40,00:41:40,47
2019-01-08 00:41:45,00:41:45,46
2019-01-08 00:41:50,00:41:50,48
2019-01-08 00:41:55,00:41:55,47
2019-01-08 00:42:00,00:42:00,45
