,time,value
2019-01-31 00:00:01,00:00:01,58
2019-01-31 00:00:06,00:00:06,56
2019-01-31 00:00:11,00:00:11,60
2019-01-31 00:00:16,00:00:16,67
2019-01-31 00:00:21,00:00:21,75
2019-01-31 00:00:31,00:00:31,74
2019-01-31 00:00:36,00:00:36,72
2019-01-31 00:00:46,00:00:46,71
2019-01-31 00:00:56,00:00:56,70
2019-01-31 00:01:06,00:01:06,71
2019-01-31 00:01:16,00:01:16,71
2019-01-31 00:01:21,00:01:21,71
2019-01-31 00:01:31,00:01:31,71
2019-01-31 00:01:46,00:01:46,72
2019-01-31 00:01:51,00:01:51,71
2019-01-31 00:01:56,00:01:56,69
2019-01-31 00:02:06,00:02:06,69
2019-01-31 00:02:16,00:02:16,67
2019-01-31 00:02:21,00:02:21,62
2019-01-31 00:02:26,00:02:26,58
2019-01-31 00:02:36,00:02:36,59
2019-01-31 00:02:41,00:02:41,58
2019-01-31 00:02:51,00:02:51,56
2019-01-31 00:02:56,00:02:56,55
2019-01-31 00:03:01,00:03:01,57
2019-01-31 00:03:06,00:03:06,59
2019-01-31 00:03:16,00:03:16,60
2019-01-31 00:03:21,00:03:21,61
2019-01-31 00:03:26,00:03:26,60
2019-01-31 00:03:31,00:03:31,58
2019-01-31 00:03:41,00:03:41,58
2019-01-31 00:03:56,00:03:56,58
2019-01-31 00:04:06,00:04:06,60
2019-01-31 00:04:21,00:04:21,60
2019-01-31 00:04:31,00:04:31,62
2019-01-31 00:04:36,00:04:36,67
2019-01-31 00:04:41,00:04:41,75
2019-01-31 00:04:51,00:04:51,74
2019-01-31 00:04:56,00:04:56,72
2019-01-31 00:05:06,00:05:06,73
2019-01-31 00:05:16,00:05:16,71
2019-01-31 00:05:21,00:05:21,70
2019-01-31 00:05:26,00:05:26,69
2019-01-31 00:05:35,00:05:35,69
2019-01-31 00:05:45,00:05:45,70
2019-01-31 00:05:50,00:05:50,72
2019-01-31 00:05:55,00:05:55,73
2019-01-31 00:06:05,00:06:05,74
2019-01-31 00:06:10,00:06:10,73
2019-01-31 00:06:15,00:06:15,72
2019-01-31 00:06:20,00:06:20,71
2019-01-31 00:06:25,00:06:25,68
2019-01-31 00:06:30,00:06:30,67
2019-01-31 00:06:35,00:06:35,65
2019-01-31 00:06:50,00:06:50,65
2019-01-31 00:06:55,00:06:55,67
2019-01-31 00:07:05,00:07:05,68
2019-01-31 00:07:10,00:07:10,69
2019-01-31 00:07:20,00:07:20,68
2019-01-31 00:07:25,00:07:25,61
2019-01-31 00:07:30,00:07:30,57
2019-01-31 00:07:40,00:07:40,58
2019-01-31 00:07:55,00:07:55,58
2019-01-31 00:08:10,00:08:10,59
2019-01-31 00:08:15,00:08:15,50
2019-01-31 00:08:25,00:08:25,51
2019-01-31 00:08:40,00:08:40,51
2019-01-31 00:08:46,00:08:46,55
2019-01-31 00:08:56,00:08:56,57
2019-01-31 00:09:01,00:09:01,58
2019-01-31 00:09:06,00:09:06,61
2019-01-31 00:09:11,00:09:11,64
2019-01-31 00:09:16,00:09:16,65
