,time,value
2019-01-20 00:00:02,00:00:02,59
2019-01-20 00:00:12,00:00:12,60
2019-01-20 00:00:17,00:00:17,59
2019-01-20 00:00:22,00:00:22,57
2019-01-20 00:00:27,00:00:27,55
2019-01-20 00:00:37,00:00:37,57
2019-01-20 00:00:42,00:00:42,58
2019-01-20 00:00:47,00:00:47,57
2019-01-20 00:00:57,00:00:57,58
2019-01-20 00:01:12,00:01:12,58
2019-01-20 00:01:17,00:01:17,57
2019-01-20 00:01:32,00:01:32,57
2019-01-20 00:01:37,00:01:37,58
2019-01-20 00:01:47,00:01:47,59
2019-01-20 00:01:52,00:01:52,57
2019-01-20 00:01:57,00:01:57,55
2019-01-20 00:02:02,00:02:02,54
2019-01-20 00:02:07,00:02:07,54
2019-01-20 00:02:12,00:02:12,55
2019-01-20 00:02:22,00:02:22,56
2019-01-20 00:02:27,00:02:27,57
2019-01-20 00:02:32,00:02:32,58
2019-01-20 00:02:37,00:02:37,57
2019-01-20 00:02:42,00:02:42,57
2019-01-20 00:02:47,00:02:47,56
2019-01-20 00:02:52,00:02:52,57
2019-01-20 00:03:02,00:03:02,56
2019-01-20 00:03:07,00:03:07,56
2019-01-20 00:03:17,00:03:17,55
2019-01-20 00:03:22,00:03:22,54
2019-01-20 00:03:27,00:03:27,55
2019-01-20 00:03:42,00:03:42,63
2019-01-20 00:03:47,00:03:47,63
2019-01-20 00:03:52,00:03:52,61
2019-01-20 00:03:57,00:03:57,59
2019-01-20 00:04:02,00:04:02,58
2019-01-20 00:04:12,00:04:12,57
2019-01-20 00:04:17,00:04:17,56
2019-01-20 00:04:22,00:04:22,55
2019-01-20 00:04:27,00:04:27,53
2019-01-20 00:04:42,00:04:42,53
2019-01-20 00:04:47,00:04:47,54
2019-01-20 00:04:52,00:04:52,55
2019-01-20 00:05:07,00:05:07,56
2019-01-20 00:05:12,00:05:12,57
2019-01-20 00:05:22,00:05:22,57
2019-01-20 00:05:27,00:05:27,58
2019-01-20 00:05:42,00:05:42,57
2019-01-20 00:05:52,00:05:52,58
2019-01-20 00:05:57,00:05:57,57
2019-01-20 00:06:12,00:06:12,57
2019-01-20 00:06:27,00:06:27,56
2019-01-20 00:06:42,00:06:42,56
2019-01-20 00:06:57,00:06:57,56
2019-01-20 00:07:12,00:07:12,56
2019-01-20 00:07:17,00:07:17,57
2019-01-20 00:07:22,00:07:22,58
2019-01-20 00:07:32,00:07:32,59
2019-01-20 00:07:42,00:07:42,61
2019-01-20 00:07:52,00:07:52,62
2019-01-20 00:07:57,00:07:57,63
2019-01-20 00:08:07,00:08:07,64
2019-01-20 00:08:17,00:08:17,66
2019-01-20 00:08:22,00:08:22,69
2019-01-20 00:08:27,00:08:27,71
2019-01-20 00:08:37,00:08:37,69
2019-01-20 00:08:42,00:08:42,65
2019-01-20 00:08:47,00:08:47,57
2019-01-20 00:08:52,00:08:52,55
2019-01-20 00:08:57,00:08:57,55
2019-01-20 00:09:12,00:09:12,55
2019-01-20 00:09:27,00:09:27,56
