,time,value
2019-01-03 00:00:01,00:00:01,58
2019-01-03 00:00:16,00:00:16,58
2019-01-03 00:00:26,00:00:26,59
2019-01-03 00:00:31,00:00:31,58
2019-01-03 00:00:36,00:00:36,57
2019-01-03 00:00:46,00:00:46,58
2019-01-03 00:01:01,00:01:01,58
2019-01-03 00:01:16,00:01:16,58
2019-01-03 00:01:21,00:01:21,57
2019-01-03 00:01:26,00:01:26,58
2019-01-03 00:01:31,00:01:31,60
2019-01-03 00:01:36,00:01:36,61
2019-01-03 00:01:41,00:01:41,63
2019-01-03 00:01:46,00:01:46,62
2019-01-03 00:01:51,00:01:51,61
2019-01-03 00:02:01,00:02:01,60
2019-01-03 00:02:06,00:02:06,59
2019-01-03 00:02:11,00:02:11,58
2019-01-03 00:02:16,00:02:16,57
2019-01-03 00:02:21,00:02:21,54
2019-01-03 00:02:36,00:02:36,54
2019-01-03 00:02:46,00:02:46,55
2019-01-03 00:03:01,00:03:01,56
2019-01-03 00:03:11,00:03:11,57
2019-01-03 00:03:16,00:03:16,58
2019-01-03 00:03:21,00:03:21,58
2019-01-03 00:03:36,00:03:36,59
2019-01-03 00:03:46,00:03:46,58
2019-01-03 00:04:01,00:04:01,59
2019-01-03 00:04:06,00:04:06,58
2019-01-03 00:04:16,00:04:16,59
2019-01-03 00:04:21,00:04:21,60
2019-01-03 00:04:36,00:04:36,60
2019-01-03 00:04:41,00:04:41,60
2019-01-03 00:04:46,00:04:46,59
2019-01-03 00:05:01,00:05:01,60
2019-01-03 00:05:11,00:05:11,61
2019-01-03 00:05:16,00:05:16,61
2019-01-03 00:05:31,00:05:31,61
2019-01-03 00:05:36,00:05:36,64
2019-01-03 00:05:41,00:05:41,66
2019-01-03 00:05:46,00:05:46,67
2019-01-03 00:06:01,00:06:01,68
2019-01-03 00:06:06,00:06:06,69
2019-01-03 00:06:11,00:06:11,68
2019-01-03 00:06:21,00:06:21,69
2019-01-03 00:06:31,00:06:31,67
2019-01-03 00:06:46,00:06:46,67
2019-01-03 00:06:51,00:06:51,68
2019-01-03 00:07:06,00:07:06,68
2019-01-03 00:07:16,00:07:16,67
2019-01-03 00:07:26,00:07:26,68
2019-01-03 00:07:32,00:07:32,67
2019-01-03 00:07:37,00:07:37,66
2019-01-03 00:07:42,00:07:42,67
2019-01-03 00:07:47,00:07:47,66
2019-01-03 00:07:52,00:07:52,67
2019-01-03 00:08:02,00:08:02,66
2019-01-03 00:08:07,00:08:07,65
2019-01-03 00:08:12,00:08:12,66
2019-01-03 00:08:22,00:08:22,65
2019-01-03 00:08:27,00:08:27,64
2019-01-03 00:08:32,00:08:32,64
2019-01-03 00:08:37,00:08:37,66
2019-01-03 00:08:42,00:08:42,65
2019-01-03 00:08:47,00:08:47,63
2019-01-03 00:09:02,00:09:02,62
2019-01-03 00:09:17,00:09:17,62
2019-01-03 00:09:22,00:09:22,62
2019-01-03 00:09:37,00:09:37,62
2019-01-03 00:09:52,00:09:52,62
2019-01-03 00:10:07,00:10:07,62
2019-01-03 00:10:12,00:10:12,63
2019-01-03 00:10:27,00:10:27,63
2019-01-03 00:10:32,00:10:32,65
2019-01-03 00:10:42,00:10:42,64
2019-01-03 00:10:47,00:10:47,60
2019-01-03 00:10:52,00:10:52,57
2019-01-03 00:10:57,00:10:57,54
2019-01-03 00:11:02,00:11:02,52
2019-01-03 00:11:07,00:11:07,50
2019-01-03 00:11:17,00:11:17,47
2019-01-03 00:11:27,00:11:27,46
2019-01-03 00:11:42,00:11:42,46
2019-01-03 00:11:52,00:11:52,47
2019-01-03 00:11:57,00:11:57,48
2019-01-03 00:12:02,00:12:02,49
2019-01-03 00:12:07,00:12:07,51
2019-01-03 00:12:12,00:12:12,52
2019-01-03 00:12:22,00:12:22,51
2019-01-03 00:12:27,00:12:27,49
2019-01-03 00:12:32,00:12:32,48
2019-01-03 00:12:42,00:12:42,47
2019-01-03 00:12:57,00:12:57,47
2019-01-03 00:13:02,00:13:02,48
2019-01-03 00:13:07,00:13:07,53
2019-01-03 00:13:12,00:13:12,52
2019-01-03 00:13:17,00:13:17,51
2019-01-03 00:13:32,00:13:32,51
2019-01-03 00:13:37,00:13:37,57
2019-01-03 00:13:42,00:13:42,58
2019-01-03 00:13:47,00:13:47,54
2019-01-03 00:13:57,00:13:57,53
2019-01-03 00:14:02,00:14:02,52
2019-01-03 00:14:07,00:14:07,51
2019-01-03 00:14:12,00:14:12,50
2019-01-03 00:14:17,00:14:17,50
2019-01-03 00:14:32,00:14:32,50
2019-01-03 00:14:42,00:14:42,49
2019-01-03 00:14:47,00:14:47,48
2019-01-03 00:14:52,00:14:52,49
2019-01-03 00:15:02,00:15:02,51
2019-01-03 00:15:12,00:15:12,49
2019-01-03 00:15:17,00:15:17,48
2019-01-03 00:15:32,00:15:32,48
2019-01-03 00:15:42,00:15:42,48
2019-01-03 00:15:47,00:15:47,48
2019-01-03 00:15:57,00:15:57,48
2019-01-03 00:16:12,00:16:12,48
2019-01-03 00:16:22,00:16:22,48
2019-01-03 00:16:27,00:16:27,48
2019-01-03 00:16:42,00:16:42,48
2019-01-03 00:16:47,00:16:47,49
2019-01-03 00:16:52,00:16:52,49
2019-01-03 00:17:07,00:17:07,50
2019-01-03 00:17:17,00:17:17,51
