,time,value
2019-01-07 00:00:01,00:00:01,57
2019-01-07 00:00:06,00:00:06,59
2019-01-07 00:00:11,00:00:11,59
2019-01-07 00:00:21,00:00:21,60
2019-01-07 00:00:36,00:00:36,60
2019-01-07 00:00:37,00:00:37,60
2019-01-07 00:00:47,00:00:47,61
2019-01-07 00:00:52,00:00:52,62
2019-01-07 00:01:07,00:01:07,63
2019-01-07 00:01:12,00:01:12,62
2019-01-07 00:01:22,00:01:22,61
2019-01-07 00:01:27,00:01:27,55
2019-01-07 00:01:32,00:01:32,54
2019-01-07 00:01:47,00:01:47,54
2019-01-07 00:01:57,00:01:57,55
2019-01-07 00:02:12,00:02:12,56
2019-01-07 00:02:17,00:02:17,55
2019-01-07 00:02:22,00:02:22,54
2019-01-07 00:02:32,00:02:32,54
2019-01-07 00:02:37,00:02:37,56
2019-01-07 00:02:47,00:02:47,55
2019-01-07 00:02:57,00:02:57,57
2019-01-07 00:03:12,00:03:12,56
2019-01-07 00:03:27,00:03:27,56
2019-01-07 00:03:42,00:03:42,56
2019-01-07 00:03:47,00:03:47,57
2019-01-07 00:03:52,00:03:52,59
2019-01-07 00:04:02,00:04:02,60
2019-01-07 00:04:07,00:04:07,61
2019-01-07 00:04:12,00:04:12,62
2019-01-07 00:04:17,00:04:17,64
2019-01-07 00:04:22,00:04:22,65
2019-01-07 00:04:27,00:04:27,68
2019-01-07 00:04:32,00:04:32,67
2019-01-07 00:04:37,00:04:37,63
2019-01-07 00:04:42,00:04:42,61
2019-01-07 00:04:47,00:04:47,60
2019-01-07 00:04:52,00:04:52,57
2019-01-07 00:04:57,00:04:57,55
2019-01-07 00:05:02,00:05:02,55
2019-01-07 00:05:07,00:05:07,54
2019-01-07 00:05:12,00:05:12,55
2019-01-07 00:05:22,00:05:22,56
2019-01-07 00:05:27,00:05:27,55
2019-01-07 00:05:32,00:05:32,54
2019-01-07 00:05:47,00:05:47,68
2019-01-07 00:05:52,00:05:52,72
2019-01-07 00:06:07,00:06:07,68
2019-01-07 00:06:12,00:06:12,66
2019-01-07 00:06:17,00:06:17,65
2019-01-07 00:06:27,00:06:27,64
2019-01-07 00:06:32,00:06:32,61
2019-01-07 00:06:37,00:06:37,56
2019-01-07 00:06:42,00:06:42,57
2019-01-07 00:06:57,00:06:57,56
2019-01-07 00:07:07,00:07:07,54
2019-01-07 00:07:22,00:07:22,53
2019-01-07 00:07:32,00:07:32,54
2019-01-07 00:07:37,00:07:37,54
2019-01-07 00:07:52,00:07:52,54
2019-01-07 00:08:02,00:08:02,53
2019-01-07 00:08:07,00:08:07,54
2019-01-07 00:08:12,00:08:12,56
2019-01-07 00:08:17,00:08:17,55
2019-01-07 00:08:22,00:08:22,55
2019-01-07 00:08:27,00:08:27,55
2019-01-07 00:08:32,00:08:32,54
2019-01-07 00:08:47,00:08:47,54
2019-01-07 00:08:52,00:08:52,53
2019-01-07 00:08:57,00:08:57,54
2019-01-07 00:09:12,00:09:12,54
2019-01-07 00:09:17,00:09:17,54
2019-01-07 00:09:22,00:09:22,53
2019-01-07 00:09:37,00:09:37,53
2019-01-07 00:09:52,00:09:52,54
2019-01-07 00:10:02,00:10:02,54
2019-01-07 00:10:12,00:10:12,53
2019-01-07 00:10:27,00:10:27,53
2019-01-07 00:10:32,00:10:32,54
2019-01-07 00:10:37,00:10:37,55
2019-01-07 00:10:42,00:10:42,54
2019-01-07 00:10:47,00:10:47,54
2019-01-07 00:11:02,00:11:02,54
2019-01-07 00:11:04,00:11:04,53
2019-01-07 00:11:14,00:11:14,53
2019-01-07 00:11:19,00:11:19,53
2019-01-07 00:11:34,00:11:34,53
2019-01-07 00:11:49,00:11:49,53
2019-01-07 00:11:54,00:11:54,55
2019-01-07 00:12:09,00:12:09,54
2019-01-07 00:12:24,00:12:24,54
2019-01-07 00:12:29,00:12:29,55
2019-01-07 00:12:34,00:12:34,56
2019-01-07 00:12:49,00:12:49,55
2019-01-07 00:13:04,00:13:04,54
2019-01-07 00:13:09,00:13:09,55
2019-01-07 00:13:14,00:13:14,55
2019-01-07 00:13:19,00:13:19,54
2019-01-07 00:13:29,00:13:29,56
2019-01-07 00:13:44,00:13:44,56
2019-01-07 00:13:49,00:13:49,57
2019-01-07 00:13:59,00:13:59,58
2019-01-07 00:14:04,00:14:04,57
2019-01-07 00:14:14,00:14:14,55
2019-01-07 00:14:19,00:14:19,56
2019-01-07 00:14:24,00:14:24,57
2019-01-07 00:14:34,00:14:34,56
2019-01-07 00:14:39,00:14:39,55
2019-01-07 00:14:44,00:14:44,56
2019-01-07 00:14:49,00:14:49,55
2019-01-07 00:14:54,00:14:54,55
2019-01-07 00:15:09,00:15:09,54
2019-01-07 00:15:19,00:15:19,53
2019-01-07 00:15:24,00:15:24,52
2019-01-07 00:15:29,00:15:29,51
2019-01-07 00:15:39,00:15:39,50
2019-01-07 00:15:54,00:15:54,51
2019-01-07 00:15:59,00:15:59,55
2019-01-07 00:16:04,00:16:04,55
2019-01-07 00:16:19,00:16:19,55
2019-01-07 00:16:34,00:16:34,55
2019-01-07 00:16:49,00:16:49,55
2019-01-07 00:17:04,00:17:04,56
2019-01-07 00:17:19,00:17:19,56
2019-01-07 00:17:34,00:17:34,56
2019-01-07 00:17:49,00:17:49,58
2019-01-07 00:18:04,00:18:04,58
2019-01-07 00:18:09,00:18:09,59
2019-01-07 00:18:14,00:18:14,62
2019-01-07 00:18:19,00:18:19,60
2019-01-07 00:18:24,00:18:24,59
2019-01-07 00:18:34,00:18:34,57
2019-01-07 00:18:39,00:18:39,55
2019-01-07 00:18:54,00:18:54,55
2019-01-07 00:19:04,00:19:04,55
2019-01-07 00:19:09,00:19:09,56
2019-01-07 00:19:15,00:19:15,56
2019-01-07 00:19:30,00:19:30,56
2019-01-07 00:19:35,00:19:35,57
2019-01-07 00:19:40,00:19:40,56
2019-01-07 00:19:45,00:19:45,56
2019-01-07 00:19:50,00:19:50,55
2019-01-07 00:20:05,00:20:05,55
2019-01-07 00:20:20,00:20:20,56
2019-01-07 00:20:25,00:20:25,55
2019-01-07 00:20:40,00:20:40,55
2019-01-07 00:20:55,00:20:55,55
2019-01-07 00:21:10,00:21:10,55
2019-01-07 00:21:20,00:21:20,56
2019-01-07 00:21:30,00:21:30,55
2019-01-07 00:21:40,00:21:40,54
2019-01-07 00:21:50,00:21:50,53
2019-01-07 00:22:05,00:22:05,52
2019-01-07 00:22:20,00:22:20,53
2019-01-07 00:22:25,00:22:25,52
2019-01-07 00:22:35,00:22:35,53
2019-01-07 00:22:40,00:22:40,54
2019-01-07 00:22:50,00:22:50,55
2019-01-07 00:22:55,00:22:55,54
2019-01-07 00:23:05,00:23:05,52
2019-01-07 00:23:10,00:23:10,51
2019-01-07 00:23:15,00:23:15,51
2019-01-07 00:23:30,00:23:30,51
2019-01-07 00:23:35,00:23:35,52
2019-01-07 00:23:40,00:23:40,52
2019-01-07 00:23:55,00:23:55,52
2019-01-07 00:24:00,00:24:00,53
2019-01-07 00:24:05,00:24:05,55
2019-01-07 00:24:10,00:24:10,54
2019-01-07 00:24:25,00:24:25,54
2019-01-07 00:24:40,00:24:40,54
2019-01-07 00:24:45,00:24:45,55
2019-01-07 00:25:00,00:25:00,55
2019-01-07 00:25:15,00:25:15,55
2019-01-07 00:25:20,00:25:20,55
2019-01-07 00:25:25,00:25:25,54
2019-01-07 00:25:40,00:25:40,54
2019-01-07 00:25:45,00:25:45,53
2019-01-07 00:25:50,00:25:50,52
2019-01-07 00:26:00,00:26:00,50
2019-01-07 00:26:10,00:26:10,52
2019-01-07 00:26:15,00:26:15,54
2019-01-07 00:26:20,00:26:20,53
2019-01-07 00:26:25,00:26:25,54
2019-01-07 00:26:40,00:26:40,54
2019-01-07 00:26:55,00:26:55,54
2019-01-07 00:27:00,00:27:00,52
2019-01-07 00:27:10,00:27:10,53
2019-01-07 00:27:16,00:27:16,53
2019-01-07 00:27:21,00:27:21,56
2019-01-07 00:27:26,00:27:26,60
2019-01-07 00:27:31,00:27:31,61
2019-01-07 00:27:46,00:27:46,61
2019-01-07 00:27:51,00:27:51,60
2019-01-07 00:27:56,00:27:56,59
2019-01-07 00:28:01,00:28:01,58
