,time,value
2019-01-16 00:00:00,00:00:00,72
2019-01-16 00:00:05,00:00:05,73
2019-01-16 00:00:20,00:00:20,73
2019-01-16 00:00:25,00:00:25,70
2019-01-16 00:00:30,00:00:30,68
2019-01-16 00:00:35,00:00:35,68
2019-01-16 00:00:45,00:00:45,69
2019-01-16 00:00:51,00:00:51,68
2019-01-16 00:01:01,00:01:01,69
2019-01-16 00:01:06,00:01:06,70
2019-01-16 00:01:11,00:01:11,71
2019-01-16 00:01:21,00:01:21,65
2019-01-16 00:01:26,00:01:26,65
2019-01-16 00:01:36,00:01:36,66
2019-01-16 00:01:51,00:01:51,67
2019-01-16 00:02:01,00:02:01,68
2019-01-16 00:02:16,00:02:16,68
2019-01-16 00:02:21,00:02:21,66
2019-01-16 00:02:31,00:02:31,67
2019-01-16 00:02:36,00:02:36,69
2019-01-16 00:02:46,00:02:46,70
2019-01-16 00:02:51,00:02:51,71
2019-01-16 00:02:56,00:02:56,72
2019-01-16 00:03:01,00:03:01,73
2019-01-16 00:03:11,00:03:11,71
2019-01-16 00:03:21,00:03:21,70
2019-01-16 00:03:36,00:03:36,71
2019-01-16 00:03:41,00:03:41,70
2019-01-16 00:03:51,00:03:51,69
2019-01-16 00:04:01,00:04:01,71
2019-01-16 00:04:06,00:04:06,73
2019-01-16 00:04:11,00:04:11,72
2019-01-16 00:04:16,00:04:16,73
2019-01-16 00:04:21,00:04:21,72
2019-01-16 00:04:26,00:04:26,72
2019-01-16 00:04:31,00:04:31,73
2019-01-16 00:04:46,00:04:46,72
2019-01-16 00:04:51,00:04:51,71
2019-01-16 00:05:06,00:05:06,70
2019-01-16 00:05:21,00:05:21,70
2019-01-16 00:05:26,00:05:26,71
2019-01-16 00:05:31,00:05:31,75
2019-01-16 00:05:36,00:05:36,78
2019-01-16 00:05:51,00:05:51,78
2019-01-16 00:06:06,00:06:06,78
2019-01-16 00:06:11,00:06:11,78
2019-01-16 00:06:21,00:06:21,79
2019-01-16 00:06:26,00:06:26,80
2019-01-16 00:06:31,00:06:31,79
2019-01-16 00:06:46,00:06:46,80
2019-01-16 00:06:56,00:06:56,79
2019-01-16 00:07:01,00:07:01,78
2019-01-16 00:07:06,00:07:06,75
2019-01-16 00:07:11,00:07:11,72
2019-01-16 00:07:16,00:07:16,66
2019-01-16 00:07:21,00:07:21,67
2019-01-16 00:07:36,00:07:36,68
2019-01-16 00:07:51,00:07:51,68
2019-01-16 00:08:01,00:08:01,68
2019-01-16 00:08:06,00:08:06,69
2019-01-16 00:08:12,00:08:12,68
2019-01-16 00:08:17,00:08:17,69
2019-01-16 00:08:32,00:08:32,69
2019-01-16 00:08:37,00:08:37,70
2019-01-16 00:08:52,00:08:52,70
2019-01-16 00:09:02,00:09:02,71
2019-01-16 00:09:12,00:09:12,72
2019-01-16 00:09:22,00:09:22,73
2019-01-16 00:09:27,00:09:27,75
2019-01-16 00:09:32,00:09:32,76
2019-01-16 00:09:37,00:09:37,74
2019-01-16 00:09:42,00:09:42,72
2019-01-16 00:09:47,00:09:47,70
2019-01-16 00:09:52,00:09:52,68
2019-01-16 00:09:57,00:09:57,67
2019-01-16 00:10:02,00:10:02,66
2019-01-16 00:10:07,00:10:07,67
2019-01-16 00:10:22,00:10:22,66
2019-01-16 00:10:32,00:10:32,67
2019-01-16 00:10:37,00:10:37,66
2019-01-16 00:10:52,00:10:52,66
2019-01-16 00:10:57,00:10:57,68
2019-01-16 00:11:12,00:11:12,67
2019-01-16 00:11:27,00:11:27,68
2019-01-16 00:11:32,00:11:32,69
2019-01-16 00:11:47,00:11:47,69
2019-01-16 00:12:02,00:12:02,70
2019-01-16 00:12:07,00:12:07,71
2019-01-16 00:12:12,00:12:12,72
2019-01-16 00:12:17,00:12:17,73
2019-01-16 00:12:22,00:12:22,75
2019-01-16 00:12:27,00:12:27,74
2019-01-16 00:12:32,00:12:32,75
2019-01-16 00:12:37,00:12:37,73
2019-01-16 00:12:42,00:12:42,71
2019-01-16 00:12:47,00:12:47,70
2019-01-16 00:13:02,00:13:02,70
2019-01-16 00:13:07,00:13:07,69
2019-01-16 00:13:12,00:13:12,68
2019-01-16 00:13:17,00:13:17,66
2019-01-16 00:13:27,00:13:27,67
2019-01-16 00:13:32,00:13:32,69
2019-01-16 00:13:47,00:13:47,68
2019-01-16 00:13:52,00:13:52,67
2019-01-16 00:14:02,00:14:02,68
2019-01-16 00:14:17,00:14:17,69
2019-01-16 00:14:22,00:14:22,70
2019-01-16 00:14:27,00:14:27,72
2019-01-16 00:14:37,00:14:37,68
2019-01-16 00:14:42,00:14:42,64
2019-01-16 00:14:47,00:14:47,61
2019-01-16 00:14:52,00:14:52,62
2019-01-16 00:15:07,00:15:07,61
2019-01-16 00:15:17,00:15:17,59
2019-01-16 00:15:22,00:15:22,60
2019-01-16 00:15:27,00:15:27,63
2019-01-16 00:15:32,00:15:32,64
2019-01-16 00:15:37,00:15:37,63
2019-01-16 00:15:52,00:15:52,64
2019-01-16 00:15:57,00:15:57,65
2019-01-16 00:16:02,00:16:02,62
2019-01-16 00:16:07,00:16:07,60
2019-01-16 00:16:12,00:16:12,59
2019-01-16 00:16:17,00:16:17,58
2019-01-16 00:16:32,00:16:32,58
2019-01-16 00:16:47,00:16:47,58
2019-01-16 00:16:57,00:16:57,60
2019-01-16 00:17:02,00:17:02,62
2019-01-16 00:17:07,00:17:07,63
2019-01-16 00:17:22,00:17:22,63
2019-01-16 00:17:32,00:17:32,64
2019-01-16 00:17:47,00:17:47,67
2019-01-16 00:17:52,00:17:52,68
2019-01-16 00:17:57,00:17:57,70
2019-01-16 00:18:02,00:18:02,72
2019-01-16 00:18:07,00:18:07,73
2019-01-16 00:18:22,00:18:22,73
2019-01-16 00:18:27,00:18:27,74
2019-01-16 00:18:32,00:18:32,72
2019-01-16 00:18:37,00:18:37,71
2019-01-16 00:18:42,00:18:42,69
2019-01-16 00:18:47,00:18:47,68
2019-01-16 00:19:02,00:19:02,68
2019-01-16 00:19:12,00:19:12,69
2019-01-16 00:19:17,00:19:17,71
2019-01-16 00:19:27,00:19:27,72
2019-01-16 00:19:32,00:19:32,71
2019-01-16 00:19:37,00:19:37,70
2019-01-16 00:19:42,00:19:42,66
2019-01-16 00:19:47,00:19:47,65
2019-01-16 00:19:52,00:19:52,66
2019-01-16 00:19:57,00:19:57,67
2019-01-16 00:20:02,00:20:02,66
2019-01-16 00:20:07,00:20:07,68
2019-01-16 00:20:22,00:20:22,68
2019-01-16 00:20:27,00:20:27,67
2019-01-16 00:20:32,00:20:32,66
2019-01-16 00:20:37,00:20:37,67
2019-01-16 00:20:47,00:20:47,68
2019-01-16 00:20:52,00:20:52,69
2019-01-16 00:20:57,00:20:57,64
2019-01-16 00:21:12,00:21:12,64
2019-01-16 00:21:27,00:21:27,63
2019-01-16 00:21:37,00:21:37,66
2019-01-16 00:21:42,00:21:42,69
2019-01-16 00:21:57,00:21:57,69
2019-01-16 00:21:58,00:21:58,70
2019-01-16 00:22:08,00:22:08,72
2019-01-16 00:22:23,00:22:23,71
2019-01-16 00:22:28,00:22:28,72
2019-01-16 00:22:38,00:22:38,73
2019-01-16 00:22:53,00:22:53,73
2019-01-16 00:22:58,00:22:58,71
2019-01-16 00:23:13,00:23:13,69
2019-01-16 00:23:18,00:23:18,68
2019-01-16 00:23:23,00:23:23,64
2019-01-16 00:23:33,00:23:33,64
2019-01-16 00:23:38,00:23:38,64
2019-01-16 00:23:53,00:23:53,64
2019-01-16 00:24:08,00:24:08,65
2019-01-16 00:24:23,00:24:23,65
2019-01-16 00:24:33,00:24:33,64
2019-01-16 00:24:43,00:24:43,63
2019-01-16 00:24:58,00:24:58,64
2019-01-16 00:25:03,00:25:03,72
2019-01-16 00:25:13,00:25:13,71
2019-01-16 00:25:18,00:25:18,67
2019-01-16 00:25:23,00:25:23,64
2019-01-16 00:25:38,00:25:38,63
2019-01-16 00:25:48,00:25:48,64
2019-01-16 00:25:58,00:25:58,63
2019-01-16 00:26:08,00:26:08,65
2019-01-16 00:26:13,00:26:13,66
2019-01-16 00:26:18,00:26:18,68
2019-01-16 00:26:23,00:26:23,67
2019-01-16 00:26:38,00:26:38,68
2019-01-16 00:26:53,00:26:53,68
2019-01-16 00:26:58,00:26:58,70
2019-01-16 00:27:08,00:27:08,69
2019-01-16 00:27:13,00:27:13,64
2019-01-16 00:27:18,00:27:18,57
2019-01-16 00:27:23,00:27:23,57
2019-01-16 00:27:38,00:27:38,57
2019-01-16 00:27:43,00:27:43,58
2019-01-16 00:27:48,00:27:48,59
2019-01-16 00:27:53,00:27:53,60
2019-01-16 00:27:58,00:27:58,61
2019-01-16 00:28:03,00:28:03,62
2019-01-16 00:28:08,00:28:08,64
2019-01-16 00:28:13,00:28:13,66
2019-01-16 00:28:28,00:28:28,66
2019-01-16 00:28:33,00:28:33,65
2019-01-16 00:28:38,00:28:38,63
2019-01-16 00:28:43,00:28:43,59
2019-01-16 00:28:58,00:28:58,59
2019-01-16 00:29:03,00:29:03,60
2019-01-16 00:29:08,00:29:08,59
2019-01-16 00:29:18,00:29:18,63
2019-01-16 00:29:23,00:29:23,64
2019-01-16 00:29:28,00:29:28,64
2019-01-16 00:29:38,00:29:38,65
2019-01-16 00:29:43,00:29:43,66
2019-01-16 00:29:53,00:29:53,67
2019-01-16 00:30:03,00:30:03,69
2019-01-16 00:30:08,00:30:08,70
2019-01-16 00:30:13,00:30:13,69
2019-01-16 00:30:18,00:30:18,67
2019-01-16 00:30:28,00:30:28,68
2019-01-16 00:30:33,00:30:33,66
2019-01-16 00:30:43,00:30:43,67
2019-01-16 00:30:53,00:30:53,66
2019-01-16 00:30:58,00:30:58,65
2019-01-16 00:31:13,00:31:13,64
2019-01-16 00:31:28,00:31:28,64
2019-01-16 00:31:33,00:31:33,65
2019-01-16 00:31:48,00:31:48,67
2019-01-16 00:31:58,00:31:58,66
2019-01-16 00:32:13,00:32:13,66
2019-01-16 00:32:18,00:32:18,65
2019-01-16 00:32:23,00:32:23,61
2019-01-16 00:32:28,00:32:28,62
2019-01-16 00:32:33,00:32:33,64
2019-01-16 00:32:48,00:32:48,64
2019-01-16 00:32:53,00:32:53,66
2019-01-16 00:32:58,00:32:58,68
2019-01-16 00:33:08,00:33:08,66
2019-01-16 00:33:13,00:33:13,67
2019-01-16 00:33:18,00:33:18,68
2019-01-16 00:33:33,00:33:33,67
2019-01-16 00:33:38,00:33:38,68
2019-01-16 00:33:48,00:33:48,69
2019-01-16 00:33:53,00:33:53,71
2019-01-16 00:33:58,00:33:58,72
2019-01-16 00:34:03,00:34:03,71
2019-01-16 00:34:18,00:34:18,70
2019-01-16 00:34:23,00:34:23,71
2019-01-16 00:34:38,00:34:38,72
2019-01-16 00:34:48,00:34:48,71
2019-01-16 00:35:03,00:35:03,72
2019-01-16 00:35:13,00:35:13,73
2019-01-16 00:35:23,00:35:23,72
2019-01-16 00:35:33,00:35:33,70
2019-01-16 00:35:38,00:35:38,69
2019-01-16 00:35:43,00:35:43,67
2019-01-16 00:35:53,00:35:53,65
2019-01-16 00:36:03,00:36:03,66
2019-01-16 00:36:08,00:36:08,67
2019-01-16 00:36:13,00:36:13,68
2019-01-16 00:36:28,00:36:28,69
2019-01-16 00:36:38,00:36:38,66
2019-01-16 00:36:43,00:36:43,65
2019-01-16 00:36:48,00:36:48,66
2019-01-16 00:36:53,00:36:53,67
2019-01-16 00:36:58,00:36:58,67
2019-01-16 00:37:03,00:37:03,69
2019-01-16 00:37:08,00:37:08,66
2019-01-16 00:37:13,00:37:13,64
2019-01-16 00:37:23,00:37:23,65
2019-01-16 00:37:28,00:37:28,66
2019-01-16 00:37:33,00:37:33,65
2019-01-16 00:37:38,00:37:38,66
2019-01-16 00:37:53,00:37:53,67
2019-01-16 00:38:03,00:38:03,68
2019-01-16 00:38:13,00:38:13,66
2019-01-16 00:38:18,00:38:18,64
2019-01-16 00:38:23,00:38:23,63
2019-01-16 00:38:28,00:38:28,64
2019-01-16 00:38:38,00:38:38,65
2019-01-16 00:38:43,00:38:43,63
2019-01-16 00:38:48,00:38:48,61
2019-01-16 00:38:53,00:38:53,57
2019-01-16 00:39:03,00:39:03,55
2019-01-16 00:39:08,00:39:08,54
2019-01-16 00:39:13,00:39:13,55
2019-01-16 00:39:18,00:39:18,56
2019-01-16 00:39:23,00:39:23,57
2019-01-16 00:39:28,00:39:28,60
2019-01-16 00:39:33,00:39:33,62
2019-01-16 00:39:38,00:39:38,63
2019-01-16 00:39:43,00:39:43,62
2019-01-16 00:39:48,00:39:48,62
2019-01-16 00:39:53,00:39:53,61
2019-01-16 00:40:08,00:40:08,61
2019-01-16 00:40:18,00:40:18,63
2019-01-16 00:40:33,00:40:33,63
2019-01-16 00:40:43,00:40:43,62
2019-01-16 00:40:53,00:40:53,63
2019-01-16 00:40:58,00:40:58,64
2019-01-16 00:41:03,00:41:03,65
2019-01-16 00:41:13,00:41:13,66
2019-01-16 00:41:28,00:41:28,63
2019-01-16 00:41:33,00:41:33,61
2019-01-16 00:41:38,00:41:38,59
2019-01-16 00:41:48,00:41:48,60
2019-01-16 00:42:03,00:42:03,60
2019-01-16 00:42:18,00:42:18,59
2019-01-16 00:42:33,00:42:33,59
2019-01-16 00:42:43,00:42:43,59
2019-01-16 00:42:48,00:42:48,59
2019-01-16 00:42:58,00:42:58,60
2019-01-16 00:43:03,00:43:03,61
2019-01-16 00:43:08,00:43:08,62
2019-01-16 00:43:13,00:43:13,64
2019-01-16 00:43:18,00:43:18,66
2019-01-16 00:43:23,00:43:23,65
2019-01-16 00:43:28,00:43:28,64
2019-01-16 00:43:33,00:43:33,63
2019-01-16 00:43:38,00:43:38,63
2019-01-16 00:43:53,00:43:53,63
2019-01-16 00:43:58,00:43:58,64
2019-01-16 00:44:08,00:44:08,65
2019-01-16 00:44:13,00:44:13,69
2019-01-16 00:44:18,00:44:18,75
2019-01-16 00:44:23,00:44:23,74
2019-01-16 00:44:28,00:44:28,73
2019-01-16 00:44:33,00:44:33,70
2019-01-16 00:44:38,00:44:38,69
2019-01-16 00:44:43,00:44:43,70
2019-01-16 00:44:58,00:44:58,70
2019-01-16 00:45:03,00:45:03,66
2019-01-16 00:45:08,00:45:08,64
2019-01-16 00:45:13,00:45:13,63
2019-01-16 00:45:18,00:45:18,64
2019-01-16 00:45:23,00:45:23,66
2019-01-16 00:45:28,00:45:28,67
2019-01-16 00:45:38,00:45:38,69
2019-01-16 00:45:43,00:45:43,70
2019-01-16 00:45:48,00:45:48,71
2019-01-16 00:45:53,00:45:53,70
2019-01-16 00:45:58,00:45:58,67
2019-01-16 00:46:03,00:46:03,64
2019-01-16 00:46:08,00:46:08,62
2019-01-16 00:46:13,00:46:13,61
2019-01-16 00:46:18,00:46:18,60
