,time,value
2019-01-19 00:00:06,00:00:06,62
2019-01-19 00:00:11,00:00:11,66
2019-01-19 00:00:16,00:00:16,68
2019-01-19 00:00:21,00:00:21,67
2019-01-19 00:00:26,00:00:26,66
2019-01-19 00:00:31,00:00:31,59
2019-01-19 00:00:36,00:00:36,56
2019-01-19 00:00:46,00:00:46,55
2019-01-19 00:01:01,00:01:01,56
2019-01-19 00:01:06,00:01:06,57
2019-01-19 00:01:11,00:01:11,57
2019-01-19 00:01:26,00:01:26,57
2019-01-19 00:01:31,00:01:31,58
2019-01-19 00:01:36,00:01:36,56
2019-01-19 00:01:46,00:01:46,59
2019-01-19 00:01:56,00:01:56,59
2019-01-19 00:02:11,00:02:11,59
2019-01-19 00:02:16,00:02:16,59
2019-01-19 00:02:21,00:02:21,58
2019-01-19 00:02:26,00:02:26,56
2019-01-19 00:02:31,00:02:31,55
2019-01-19 00:02:36,00:02:36,56
2019-01-19 00:02:46,00:02:46,57
2019-01-19 00:02:56,00:02:56,58
2019-01-19 00:03:11,00:03:11,58
2019-01-19 00:03:16,00:03:16,57
2019-01-19 00:03:21,00:03:21,57
2019-01-19 00:03:26,00:03:26,56
2019-01-19 00:03:36,00:03:36,55
2019-01-19 00:03:51,00:03:51,55
2019-01-19 00:04:01,00:04:01,54
2019-01-19 00:04:16,00:04:16,54
2019-01-19 00:04:31,00:04:31,55
2019-01-19 00:04:46,00:04:46,55
2019-01-19 00:04:51,00:04:51,56
2019-01-19 00:05:06,00:05:06,56
2019-01-19 00:05:11,00:05:11,57
2019-01-19 00:05:26,00:05:26,56
2019-01-19 00:05:36,00:05:36,57
2019-01-19 00:05:41,00:05:41,59
2019-01-19 00:05:56,00:05:56,58
2019-01-19 00:06:11,00:06:11,57
2019-01-19 00:06:21,00:06:21,56
2019-01-19 00:06:36,00:06:36,57
2019-01-19 00:06:41,00:06:41,59
2019-01-19 00:06:46,00:06:46,59
2019-01-19 00:06:51,00:06:51,58
2019-01-19 00:06:56,00:06:56,57
2019-01-19 00:07:06,00:07:06,56
2019-01-19 00:07:11,00:07:11,55
2019-01-19 00:07:16,00:07:16,54
2019-01-19 00:07:21,00:07:21,53
2019-01-19 00:07:26,00:07:26,54
2019-01-19 00:07:31,00:07:31,54
2019-01-19 00:07:41,00:07:41,56
2019-01-19 00:07:51,00:07:51,55
2019-01-19 00:08:06,00:08:06,55
2019-01-19 00:08:21,00:08:21,56
2019-01-19 00:08:36,00:08:36,56
2019-01-19 00:08:46,00:08:46,56
2019-01-19 00:08:56,00:08:56,57
2019-01-19 00:09:06,00:09:06,58
2019-01-19 00:09:11,00:09:11,59
2019-01-19 00:09:16,00:09:16,59
2019-01-19 00:09:21,00:09:21,60
2019-01-19 00:09:26,00:09:26,61
2019-01-19 00:09:41,00:09:41,61
2019-01-19 00:09:46,00:09:46,64
2019-01-19 00:09:51,00:09:51,65
2019-01-19 00:09:56,00:09:56,66
2019-01-19 00:10:01,00:10:01,70
2019-01-19 00:10:06,00:10:06,75
2019-01-19 00:10:11,00:10:11,73
2019-01-19 00:10:16,00:10:16,72
2019-01-19 00:10:21,00:10:21,71
2019-01-19 00:10:26,00:10:26,70
