,time,value
2019-01-28 00:00:02,00:00:02,54
2019-01-28 00:00:07,00:00:07,56
2019-01-28 00:00:12,00:00:12,55
2019-01-28 00:00:17,00:00:17,54
2019-01-28 00:00:22,00:00:22,55
2019-01-28 00:00:32,00:00:32,53
2019-01-28 00:00:37,00:00:37,51
2019-01-28 00:00:42,00:00:42,50
2019-01-28 00:00:47,00:00:47,49
2019-01-28 00:00:52,00:00:52,50
2019-01-28 00:00:57,00:00:57,49
2019-01-28 00:01:07,00:01:07,49
2019-01-28 00:01:12,00:01:12,51
2019-01-28 00:01:22,00:01:22,50
2019-01-28 00:01:27,00:01:27,51
2019-01-28 00:01:37,00:01:37,50
2019-01-28 00:01:42,00:01:42,49
2019-01-28 00:01:52,00:01:52,50
2019-01-28 00:02:02,00:02:02,49
2019-01-28 00:02:12,00:02:12,48
2019-01-28 00:02:17,00:02:17,46
2019-01-28 00:02:27,00:02:27,45
2019-01-28 00:02:42,00:02:42,46
2019-01-28 00:02:57,00:02:57,46
2019-01-28 00:03:02,00:03:02,47
2019-01-28 00:03:07,00:03:07,47
2019-01-28 00:03:12,00:03:12,48
2019-01-28 00:03:17,00:03:17,49
2019-01-28 00:03:27,00:03:27,51
2019-01-28 00:03:32,00:03:32,53
2019-01-28 00:03:37,00:03:37,55
2019-01-28 00:03:42,00:03:42,57
2019-01-28 00:03:47,00:03:47,56
2019-01-28 00:03:52,00:03:52,55
2019-01-28 00:03:57,00:03:57,53
2019-01-28 00:04:12,00:04:12,49
2019-01-28 00:04:17,00:04:17,46
2019-01-28 00:04:22,00:04:22,45
2019-01-28 00:04:27,00:04:27,44
2019-01-28 00:04:37,00:04:37,43
2019-01-28 00:04:52,00:04:52,44
2019-01-28 00:05:07,00:05:07,44
2019-01-28 00:05:12,00:05:12,45
2019-01-28 00:05:27,00:05:27,45
2019-01-28 00:05:32,00:05:32,46
2019-01-28 00:05:42,00:05:42,45
2019-01-28 00:05:47,00:05:47,46
2019-01-28 00:05:52,00:05:52,47
2019-01-28 00:05:57,00:05:57,50
2019-01-28 00:06:02,00:06:02,51
2019-01-28 00:06:12,00:06:12,52
2019-01-28 00:06:17,00:06:17,50
2019-01-28 00:06:32,00:06:32,50
2019-01-28 00:06:37,00:06:37,47
2019-01-28 00:06:42,00:06:42,46
2019-01-28 00:06:52,00:06:52,45
2019-01-28 00:07:07,00:07:07,45
2019-01-28 00:07:22,00:07:22,45
2019-01-28 00:07:32,00:07:32,44
2019-01-28 00:07:37,00:07:37,44
2019-01-28 00:07:52,00:07:52,44
2019-01-28 00:08:07,00:08:07,44
2019-01-28 00:08:22,00:08:22,44
2019-01-28 00:08:32,00:08:32,45
2019-01-28 00:08:37,00:08:37,45
2019-01-28 00:08:42,00:08:42,45
2019-01-28 00:08:57,00:08:57,45
2019-01-28 00:09:07,00:09:07,45
2019-01-28 00:09:12,00:09:12,44
2019-01-28 00:09:22,00:09:22,44
2019-01-28 00:09:27,00:09:27,44
2019-01-28 00:09:42,00:09:42,45
2019-01-28 00:09:57,00:09:57,44
2019-01-28 00:10:02,00:10:02,44
2019-01-28 00:10:07,00:10:07,45
2019-01-28 00:10:17,00:10:17,45
2019-01-28 00:10:27,00:10:27,45
2019-01-28 00:10:42,00:10:42,45
2019-01-28 00:10:47,00:10:47,45
2019-01-28 00:11:02,00:11:02,46
2019-01-28 00:11:07,00:11:07,50
2019-01-28 00:11:12,00:11:12,58
2019-01-28 00:11:27,00:11:27,58
2019-01-28 00:11:32,00:11:32,57
2019-01-28 00:11:37,00:11:37,56
2019-01-28 00:11:42,00:11:42,54
2019-01-28 00:11:47,00:11:47,52
2019-01-28 00:11:52,00:11:52,49
2019-01-28 00:11:57,00:11:57,48
2019-01-28 00:12:02,00:12:02,47
2019-01-28 00:12:07,00:12:07,46
2019-01-28 00:12:12,00:12:12,44
2019-01-28 00:12:17,00:12:17,43
2019-01-28 00:12:32,00:12:32,43
2019-01-28 00:12:42,00:12:42,44
2019-01-28 00:12:47,00:12:47,43
2019-01-28 00:12:57,00:12:57,45
2019-01-28 00:13:02,00:13:02,46
2019-01-28 00:13:07,00:13:07,47
2019-01-28 00:13:17,00:13:17,45
2019-01-28 00:13:22,00:13:22,43
2019-01-28 00:13:32,00:13:32,44
2019-01-28 00:13:37,00:13:37,45
2019-01-28 00:13:42,00:13:42,48
2019-01-28 00:13:47,00:13:47,52
2019-01-28 00:13:52,00:13:52,51
2019-01-28 00:13:57,00:13:57,50
2019-01-28 00:14:02,00:14:02,49
2019-01-28 00:14:07,00:14:07,48
2019-01-28 00:14:12,00:14:12,47
2019-01-28 00:14:17,00:14:17,46
2019-01-28 00:14:22,00:14:22,45
2019-01-28 00:14:27,00:14:27,44
2019-01-28 00:14:32,00:14:32,43
2019-01-28 00:14:47,00:14:47,43
2019-01-28 00:14:52,00:14:52,42
2019-01-28 00:15:07,00:15:07,42
2019-01-28 00:15:12,00:15:12,41
2019-01-28 00:15:22,00:15:22,42
2019-01-28 00:15:37,00:15:37,43
2019-01-28 00:15:42,00:15:42,44
2019-01-28 00:15:52,00:15:52,45
2019-01-28 00:15:57,00:15:57,44
2019-01-28 00:16:07,00:16:07,43
2019-01-28 00:16:12,00:16:12,44
2019-01-28 00:16:27,00:16:27,44
2019-01-28 00:16:32,00:16:32,45
2019-01-28 00:16:42,00:16:42,44
2019-01-28 00:16:52,00:16:52,43
2019-01-28 00:17:07,00:17:07,43
2019-01-28 00:17:12,00:17:12,44
2019-01-28 00:17:17,00:17:17,46
2019-01-28 00:17:32,00:17:32,46
2019-01-28 00:17:37,00:17:37,45
2019-01-28 00:17:42,00:17:42,44
2019-01-28 00:17:47,00:17:47,43
2019-01-28 00:17:57,00:17:57,44
2019-01-28 00:18:07,00:18:07,43
2019-01-28 00:18:17,00:18:17,42
2019-01-28 00:18:27,00:18:27,43
2019-01-28 00:18:32,00:18:32,44
2019-01-28 00:18:37,00:18:37,43
2019-01-28 00:18:42,00:18:42,44
2019-01-28 00:18:52,00:18:52,46
2019-01-28 00:18:58,00:18:58,45
2019-01-28 00:19:08,00:19:08,44
2019-01-28 00:19:18,00:19:18,46
2019-01-28 00:19:23,00:19:23,47
2019-01-28 00:19:28,00:19:28,49
2019-01-28 00:19:38,00:19:38,48
2019-01-28 00:19:43,00:19:43,47
2019-01-28 00:19:48,00:19:48,46
2019-01-28 00:19:53,00:19:53,45
2019-01-28 00:20:08,00:20:08,47
2019-01-28 00:20:18,00:20:18,51
2019-01-28 00:20:23,00:20:23,60
2019-01-28 00:20:28,00:20:28,74
2019-01-28 00:20:33,00:20:33,73
2019-01-28 00:20:43,00:20:43,74
2019-01-28 00:20:48,00:20:48,73
2019-01-28 00:20:53,00:20:53,72
2019-01-28 00:20:58,00:20:58,70
2019-01-28 00:21:08,00:21:08,69
2019-01-28 00:21:13,00:21:13,65
2019-01-28 00:21:18,00:21:18,63
2019-01-28 00:21:33,00:21:33,62
2019-01-28 00:21:48,00:21:48,58
2019-01-28 00:21:53,00:21:53,59
2019-01-28 00:21:58,00:21:58,56
2019-01-28 00:22:03,00:22:03,51
2019-01-28 00:22:08,00:22:08,49
2019-01-28 00:22:18,00:22:18,48
2019-01-28 00:22:23,00:22:23,47
2019-01-28 00:22:28,00:22:28,47
2019-01-28 00:22:38,00:22:38,46
2019-01-28 00:22:48,00:22:48,47
2019-01-28 00:22:53,00:22:53,47
2019-01-28 00:22:58,00:22:58,52
2019-01-28 00:23:03,00:23:03,55
2019-01-28 00:23:08,00:23:08,56
2019-01-28 00:23:18,00:23:18,57
2019-01-28 00:23:28,00:23:28,57
2019-01-28 00:23:33,00:23:33,56
2019-01-28 00:23:38,00:23:38,54
2019-01-28 00:23:43,00:23:43,51
2019-01-28 00:23:48,00:23:48,54
2019-01-28 00:23:53,00:23:53,55
2019-01-28 00:23:58,00:23:58,57
2019-01-28 00:24:03,00:24:03,59
2019-01-28 00:24:08,00:24:08,58
2019-01-28 00:24:13,00:24:13,56
2019-01-28 00:24:18,00:24:18,54
2019-01-28 00:24:23,00:24:23,51
2019-01-28 00:24:28,00:24:28,50
2019-01-28 00:24:43,00:24:43,53
2019-01-28 00:24:53,00:24:53,50
2019-01-28 00:24:58,00:24:58,49
2019-01-28 00:25:03,00:25:03,52
2019-01-28 00:25:08,00:25:08,55
2019-01-28 00:25:13,00:25:13,56
2019-01-28 00:25:28,00:25:28,58
2019-01-28 00:25:33,00:25:33,62
2019-01-28 00:25:38,00:25:38,65
2019-01-28 00:25:43,00:25:43,66
2019-01-28 00:25:48,00:25:48,67
2019-01-28 00:25:58,00:25:58,60
2019-01-28 00:26:03,00:26:03,59
2019-01-28 00:26:18,00:26:18,59
2019-01-28 00:26:28,00:26:28,58
2019-01-28 00:26:33,00:26:33,56
2019-01-28 00:26:43,00:26:43,55
2019-01-28 00:26:48,00:26:48,54
2019-01-28 00:26:53,00:26:53,53
2019-01-28 00:27:03,00:27:03,52
2019-01-28 00:27:08,00:27:08,51
2019-01-28 00:27:18,00:27:18,49
2019-01-28 00:27:23,00:27:23,48
2019-01-28 00:27:33,00:27:33,47
2019-01-28 00:27:38,00:27:38,46
2019-01-28 00:27:53,00:27:53,47
2019-01-28 00:28:08,00:28:08,46
2019-01-28 00:28:23,00:28:23,46
2019-01-28 00:28:28,00:28:28,46
2019-01-28 00:28:33,00:28:33,46
2019-01-28 00:28:38,00:28:38,45
2019-01-28 00:28:43,00:28:43,46
2019-01-28 00:28:53,00:28:53,47
2019-01-28 00:28:58,00:28:58,46
2019-01-28 00:29:08,00:29:08,48
2019-01-28 00:29:13,00:29:13,51
2019-01-28 00:29:23,00:29:23,52
2019-01-28 00:29:28,00:29:28,51
2019-01-28 00:29:33,00:29:33,50
2019-01-28 00:29:38,00:29:38,49
2019-01-28 00:29:43,00:29:43,48
2019-01-28 00:29:48,00:29:48,47
2019-01-28 00:29:58,00:29:58,46
2019-01-28 00:30:03,00:30:03,45
2019-01-28 00:30:18,00:30:18,45
2019-01-28 00:30:33,00:30:33,46
2019-01-28 00:30:43,00:30:43,48
2019-01-28 00:30:48,00:30:48,49
2019-01-28 00:30:53,00:30:53,50
2019-01-28 00:30:58,00:30:58,50
2019-01-28 00:31:13,00:31:13,49
2019-01-28 00:31:18,00:31:18,48
2019-01-28 00:31:28,00:31:28,47
2019-01-28 00:31:38,00:31:38,46
2019-01-28 00:31:53,00:31:53,46
2019-01-28 00:31:58,00:31:58,47
2019-01-28 00:32:04,00:32:04,47
2019-01-28 00:32:14,00:32:14,47
2019-01-28 00:32:29,00:32:29,47
2019-01-28 00:32:44,00:32:44,48
2019-01-28 00:32:49,00:32:49,47
2019-01-28 00:32:54,00:32:54,48
2019-01-28 00:32:59,00:32:59,47
2019-01-28 00:33:09,00:33:09,46
