,time,value
2019-01-04 00:00:05,00:00:05,66
2019-01-04 00:00:15,00:00:15,68
2019-01-04 00:00:20,00:00:20,67
2019-01-04 00:00:25,00:00:25,66
2019-01-04 00:00:30,00:00:30,64
2019-01-04 00:00:35,00:00:35,59
2019-01-04 00:00:40,00:00:40,58
2019-01-04 00:00:45,00:00:45,56
2019-01-04 00:00:50,00:00:50,54
2019-01-04 00:00:55,00:00:55,53
2019-01-04 00:01:00,00:01:00,52
2019-01-04 00:01:15,00:01:15,51
2019-01-04 00:01:20,00:01:20,50
2019-01-04 00:01:30,00:01:30,49
2019-01-04 00:01:45,00:01:45,49
2019-01-04 00:01:50,00:01:50,52
2019-01-04 00:01:55,00:01:55,53
2019-01-04 00:02:10,00:02:10,52
2019-01-04 00:02:20,00:02:20,53
2019-01-04 00:02:30,00:02:30,51
2019-01-04 00:02:40,00:02:40,50
2019-01-04 00:02:45,00:02:45,49
2019-01-04 00:03:00,00:03:00,51
2019-01-04 00:03:05,00:03:05,52
2019-01-04 00:03:20,00:03:20,53
2019-01-04 00:03:25,00:03:25,54
2019-01-04 00:03:30,00:03:30,53
2019-01-04 00:03:35,00:03:35,52
2019-01-04 00:03:40,00:03:40,51
2019-01-04 00:03:45,00:03:45,50
2019-01-04 00:04:00,00:04:00,52
2019-01-04 00:04:05,00:04:05,53
2019-01-04 00:04:10,00:04:10,53
2019-01-04 00:04:15,00:04:15,54
2019-01-04 00:04:20,00:04:20,55
2019-01-04 00:04:25,00:04:25,54
2019-01-04 00:04:35,00:04:35,54
2019-01-04 00:04:50,00:04:50,56
2019-01-04 00:04:55,00:04:55,57
2019-01-04 00:05:00,00:05:00,56
2019-01-04 00:05:05,00:05:05,55
2019-01-04 00:05:20,00:05:20,55
2019-01-04 00:05:30,00:05:30,56
2019-01-04 00:05:35,00:05:35,58
2019-01-04 00:05:40,00:05:40,64
2019-01-04 00:05:45,00:05:45,65
2019-01-04 00:06:00,00:06:00,65
2019-01-04 00:06:05,00:06:05,60
2019-01-04 00:06:10,00:06:10,54
2019-01-04 00:06:25,00:06:25,54
2019-01-04 00:06:35,00:06:35,53
2019-01-04 00:06:45,00:06:45,52
2019-01-04 00:06:55,00:06:55,51
2019-01-04 00:07:00,00:07:00,52
2019-01-04 00:07:05,00:07:05,53
2019-01-04 00:07:10,00:07:10,55
2019-01-04 00:07:15,00:07:15,57
2019-01-04 00:07:25,00:07:25,58
2019-01-04 00:07:31,00:07:31,59
2019-01-04 00:07:36,00:07:36,61
2019-01-04 00:07:46,00:07:46,58
2019-01-04 00:07:51,00:07:51,57
2019-01-04 00:07:56,00:07:56,55
2019-01-04 00:08:06,00:08:06,54
2019-01-04 00:08:16,00:08:16,54
2019-01-04 00:08:31,00:08:31,54
2019-01-04 00:08:41,00:08:41,55
2019-01-04 00:08:51,00:08:51,56
2019-01-04 00:08:56,00:08:56,55
2019-01-04 00:09:11,00:09:11,54
2019-01-04 00:09:26,00:09:26,54
2019-01-04 00:09:41,00:09:41,54
2019-01-04 00:09:56,00:09:56,54
2019-01-04 00:10:01,00:10:01,55
2019-01-04 00:10:06,00:10:06,54
2019-01-04 00:10:11,00:10:11,53
2019-01-04 00:10:16,00:10:16,53
2019-01-04 00:10:26,00:10:26,54
2019-01-04 00:10:31,00:10:31,56
2019-01-04 00:10:36,00:10:36,55
2019-01-04 00:10:41,00:10:41,54
2019-01-04 00:10:46,00:10:46,53
2019-01-04 00:11:01,00:11:01,53
2019-01-04 00:11:16,00:11:16,53
2019-01-04 00:11:26,00:11:26,53
2019-01-04 00:11:31,00:11:31,53
2019-01-04 00:11:36,00:11:36,53
2019-01-04 00:11:41,00:11:41,54
2019-01-04 00:11:46,00:11:46,57
2019-01-04 00:11:51,00:11:51,58
2019-01-04 00:11:56,00:11:56,58
2019-01-04 00:12:06,00:12:06,59
2019-01-04 00:12:21,00:12:21,59
2019-01-04 00:12:26,00:12:26,58
2019-01-04 00:12:41,00:12:41,58
2019-01-04 00:12:56,00:12:56,58
2019-01-04 00:13:01,00:13:01,63
2019-01-04 00:13:06,00:13:06,63
2019-01-04 00:13:16,00:13:16,63
2019-01-04 00:13:21,00:13:21,59
2019-01-04 00:13:26,00:13:26,56
2019-01-04 00:13:31,00:13:31,54
2019-01-04 00:13:36,00:13:36,54
2019-01-04 00:13:41,00:13:41,53
2019-01-04 00:13:46,00:13:46,52
2019-01-04 00:14:01,00:14:01,52
2019-01-04 00:14:06,00:14:06,51
2019-01-04 00:14:16,00:14:16,52
2019-01-04 00:14:26,00:14:26,53
2019-01-04 00:14:31,00:14:31,54
2019-01-04 00:14:36,00:14:36,53
2019-01-04 00:14:42,00:14:42,53
2019-01-04 00:14:47,00:14:47,55
2019-01-04 00:14:52,00:14:52,56
2019-01-04 00:15:02,00:15:02,58
2019-01-04 00:15:12,00:15:12,59
2019-01-04 00:15:22,00:15:22,60
2019-01-04 00:15:32,00:15:32,59
2019-01-04 00:15:37,00:15:37,58
2019-01-04 00:15:42,00:15:42,57
2019-01-04 00:15:47,00:15:47,55
2019-01-04 00:15:52,00:15:52,55
2019-01-04 00:16:02,00:16:02,56
2019-01-04 00:16:17,00:16:17,56
2019-01-04 00:16:27,00:16:27,56
2019-01-04 00:16:42,00:16:42,56
2019-01-04 00:16:47,00:16:47,60
2019-01-04 00:16:52,00:16:52,61
2019-01-04 00:16:57,00:16:57,60
2019-01-04 00:17:02,00:17:02,59
2019-01-04 00:17:07,00:17:07,55
2019-01-04 00:17:12,00:17:12,54
2019-01-04 00:17:17,00:17:17,53
2019-01-04 00:17:22,00:17:22,53
