,time,value
2019-01-26 00:00:04,00:00:04,47
2019-01-26 00:00:09,00:00:09,46
2019-01-26 00:00:19,00:00:19,45
2019-01-26 00:00:34,00:00:34,44
2019-01-26 00:00:49,00:00:49,44
2019-01-26 00:00:59,00:00:59,45
2019-01-26 00:01:04,00:01:04,46
2019-01-26 00:01:19,00:01:19,47
2019-01-26 00:01:24,00:01:24,48
2019-01-26 00:01:29,00:01:29,49
2019-01-26 00:01:44,00:01:44,49
2019-01-26 00:01:49,00:01:49,50
2019-01-26 00:01:54,00:01:54,50
2019-01-26 00:01:59,00:01:59,49
2019-01-26 00:02:04,00:02:04,50
2019-01-26 00:02:09,00:02:09,51
2019-01-26 00:02:14,00:02:14,53
2019-01-26 00:02:19,00:02:19,51
2019-01-26 00:02:24,00:02:24,50
2019-01-26 00:02:29,00:02:29,49
2019-01-26 00:02:34,00:02:34,48
2019-01-26 00:02:39,00:02:39,48
2019-01-26 00:02:44,00:02:44,47
2019-01-26 00:02:59,00:02:59,47
2019-01-26 00:03:04,00:03:04,50
2019-01-26 00:03:10,00:03:10,50
2019-01-26 00:03:15,00:03:15,49
2019-01-26 00:03:20,00:03:20,48
2019-01-26 00:03:25,00:03:25,47
2019-01-26 00:03:30,00:03:30,46
2019-01-26 00:03:40,00:03:40,47
2019-01-26 00:03:45,00:03:45,48
2019-01-26 00:03:50,00:03:50,50
2019-01-26 00:03:55,00:03:55,53
2019-01-26 00:04:00,00:04:00,58
2019-01-26 00:04:05,00:04:05,59
2019-01-26 00:04:15,00:04:15,58
2019-01-26 00:04:25,00:04:25,59
2019-01-26 00:04:30,00:04:30,60
2019-01-26 00:04:35,00:04:35,61
2019-01-26 00:04:40,00:04:40,62
2019-01-26 00:04:45,00:04:45,63
2019-01-26 00:04:50,00:04:50,64
2019-01-26 00:05:05,00:05:05,65
2019-01-26 00:05:20,00:05:20,66
2019-01-26 00:05:25,00:05:25,65
2019-01-26 00:05:40,00:05:40,66
2019-01-26 00:05:50,00:05:50,67
2019-01-26 00:06:00,00:06:00,66
2019-01-26 00:06:05,00:06:05,67
2019-01-26 00:06:10,00:06:10,68
2019-01-26 00:06:15,00:06:15,60
2019-01-26 00:06:20,00:06:20,59
2019-01-26 00:06:25,00:06:25,60
2019-01-26 00:06:30,00:06:30,62
2019-01-26 00:06:35,00:06:35,63
2019-01-26 00:06:50,00:06:50,63
2019-01-26 00:06:55,00:06:55,65
2019-01-26 00:07:00,00:07:00,64
2019-01-26 00:07:10,00:07:10,65
2019-01-26 00:07:15,00:07:15,66
2019-01-26 00:07:20,00:07:20,67
2019-01-26 00:07:25,00:07:25,68
2019-01-26 00:07:30,00:07:30,67
2019-01-26 00:07:35,00:07:35,65
2019-01-26 00:07:40,00:07:40,63
2019-01-26 00:07:50,00:07:50,64
2019-01-26 00:08:05,00:08:05,65
2019-01-26 00:08:10,00:08:10,66
2019-01-26 00:08:20,00:08:20,68
2019-01-26 00:08:25,00:08:25,69
2019-01-26 00:08:30,00:08:30,72
2019-01-26 00:08:35,00:08:35,68
2019-01-26 00:08:40,00:08:40,65
2019-01-26 00:08:45,00:08:45,65
2019-01-26 00:08:55,00:08:55,66
2019-01-26 00:09:05,00:09:05,65
2019-01-26 00:09:15,00:09:15,67
2019-01-26 00:09:30,00:09:30,67
2019-01-26 00:09:35,00:09:35,65
2019-01-26 00:09:45,00:09:45,63
2019-01-26 00:09:50,00:09:50,61
2019-01-26 00:10:05,00:10:05,63
2019-01-26 00:10:10,00:10:10,64
2019-01-26 00:10:15,00:10:15,65
2019-01-26 00:10:25,00:10:25,64
2019-01-26 00:10:30,00:10:30,62
2019-01-26 00:10:35,00:10:35,61
2019-01-26 00:10:45,00:10:45,60
2019-01-26 00:11:00,00:11:00,60
2019-01-26 00:11:05,00:11:05,61
2019-01-26 00:11:10,00:11:10,63
2019-01-26 00:11:20,00:11:20,64
2019-01-26 00:11:25,00:11:25,65
2019-01-26 00:11:30,00:11:30,66
2019-01-26 00:11:35,00:11:35,67
2019-01-26 00:11:45,00:11:45,69
2019-01-26 00:11:50,00:11:50,71
2019-01-26 00:12:05,00:12:05,71
2019-01-26 00:12:10,00:12:10,70
2019-01-26 00:12:25,00:12:25,70
2019-01-26 00:12:30,00:12:30,71
2019-01-26 00:12:35,00:12:35,72
2019-01-26 00:12:50,00:12:50,72
2019-01-26 00:12:55,00:12:55,73
2019-01-26 00:13:00,00:13:00,72
2019-01-26 00:13:06,00:13:06,71
2019-01-26 00:13:16,00:13:16,70
