,time,value
2019-01-05 00:00:01,00:00:01,60
2019-01-05 00:00:06,00:00:06,61
2019-01-05 00:00:21,00:00:21,62
2019-01-05 00:00:26,00:00:26,63
2019-01-05 00:00:41,00:00:41,63
2019-01-05 00:00:46,00:00:46,62
2019-01-05 00:00:51,00:00:51,61
2019-01-05 00:00:56,00:00:56,60
2019-01-05 00:01:01,00:01:01,57
2019-01-05 00:01:06,00:01:06,56
2019-01-05 00:01:11,00:01:11,55
2019-01-05 00:01:16,00:01:16,58
2019-01-05 00:01:21,00:01:21,60
2019-01-05 00:01:31,00:01:31,61
2019-01-05 00:01:36,00:01:36,62
2019-01-05 00:01:41,00:01:41,63
2019-01-05 00:01:46,00:01:46,62
2019-01-05 00:01:51,00:01:51,60
2019-01-05 00:02:06,00:02:06,60
2019-01-05 00:02:11,00:02:11,61
2019-01-05 00:02:21,00:02:21,62
2019-01-05 00:02:26,00:02:26,63
2019-01-05 00:02:31,00:02:31,64
2019-01-05 00:02:36,00:02:36,65
2019-01-05 00:02:41,00:02:41,66
2019-01-05 00:02:51,00:02:51,67
2019-01-05 00:02:56,00:02:56,66
2019-01-05 00:03:11,00:03:11,66
2019-01-05 00:03:26,00:03:26,64
2019-01-05 00:03:41,00:03:41,64
2019-01-05 00:03:56,00:03:56,65
2019-01-05 00:04:01,00:04:01,64
2019-01-05 00:04:16,00:04:16,65
2019-01-05 00:04:26,00:04:26,66
2019-01-05 00:04:41,00:04:41,67
2019-01-05 00:04:46,00:04:46,68
2019-01-05 00:04:51,00:04:51,70
2019-01-05 00:04:56,00:04:56,69
2019-01-05 00:05:01,00:05:01,68
2019-01-05 00:05:06,00:05:06,69
2019-01-05 00:05:11,00:05:11,72
2019-01-05 00:05:16,00:05:16,73
2019-01-05 00:05:21,00:05:21,76
2019-01-05 00:05:26,00:05:26,79
2019-01-05 00:05:41,00:05:41,79
2019-01-05 00:05:46,00:05:46,80
2019-01-05 00:05:56,00:05:56,77
2019-01-05 00:06:01,00:06:01,75
2019-01-05 00:06:11,00:06:11,74
2019-01-05 00:06:21,00:06:21,73
2019-01-05 00:06:26,00:06:26,72
2019-01-05 00:06:36,00:06:36,73
2019-01-05 00:06:41,00:06:41,71
2019-01-05 00:06:46,00:06:46,68
2019-01-05 00:06:51,00:06:51,58
2019-01-05 00:06:56,00:06:56,56
2019-01-05 00:07:01,00:07:01,55
2019-01-05 00:07:11,00:07:11,54
2019-01-05 00:07:16,00:07:16,53
2019-01-05 00:07:26,00:07:26,54
2019-01-05 00:07:31,00:07:31,55
2019-01-05 00:07:41,00:07:41,54
2019-01-05 00:07:51,00:07:51,55
2019-01-05 00:07:56,00:07:56,57
2019-01-05 00:08:11,00:08:11,57
2019-01-05 00:08:16,00:08:16,56
2019-01-05 00:08:31,00:08:31,55
2019-01-05 00:08:46,00:08:46,55
2019-01-05 00:08:56,00:08:56,54
2019-01-05 00:09:01,00:09:01,55
2019-01-05 00:09:11,00:09:11,56
2019-01-05 00:09:26,00:09:26,56
2019-01-05 00:09:41,00:09:41,58
2019-01-05 00:09:56,00:09:56,58
2019-01-05 00:10:01,00:10:01,57
2019-01-05 00:10:06,00:10:06,56
2019-01-05 00:10:11,00:10:11,57
2019-01-05 00:10:16,00:10:16,58
2019-01-05 00:10:31,00:10:31,58
