,time,value
2019-01-21 00:00:04,00:00:04,61
2019-01-21 00:00:09,00:00:09,58
2019-01-21 00:00:14,00:00:14,57
2019-01-21 00:00:19,00:00:19,55
2019-01-21 00:00:34,00:00:34,55
2019-01-21 00:00:39,00:00:39,59
2019-01-21 00:00:49,00:00:49,58
2019-01-21 00:00:54,00:00:54,54
2019-01-21 00:01:00,00:01:00,53
2019-01-21 00:01:05,00:01:05,52
2019-01-21 00:01:10,00:01:10,52
2019-01-21 00:01:15,00:01:15,52
2019-01-21 00:01:20,00:01:20,52
2019-01-21 00:01:25,00:01:25,52
2019-01-21 00:01:30,00:01:30,53
2019-01-21 00:01:35,00:01:35,54
2019-01-21 00:01:40,00:01:40,61
2019-01-21 00:01:45,00:01:45,61
2019-01-21 00:01:50,00:01:50,59
2019-01-21 00:02:05,00:02:05,59
2019-01-21 00:02:10,00:02:10,56
2019-01-21 00:02:15,00:02:15,55
2019-01-21 00:02:20,00:02:20,53
2019-01-21 00:02:35,00:02:35,53
2019-01-21 00:02:40,00:02:40,54
2019-01-21 00:02:45,00:02:45,55
2019-01-21 00:02:55,00:02:55,54
2019-01-21 00:03:00,00:03:00,53
2019-01-21 00:03:05,00:03:05,51
2019-01-21 00:03:10,00:03:10,50
2019-01-21 00:03:20,00:03:20,51
2019-01-21 00:03:35,00:03:35,51
2019-01-21 00:03:44,00:03:44,50
2019-01-21 00:03:59,00:03:59,51
2019-01-21 00:04:09,00:04:09,53
2019-01-21 00:04:14,00:04:14,54
2019-01-21 00:04:19,00:04:19,54
2019-01-21 00:04:24,00:04:24,54
2019-01-21 00:04:29,00:04:29,53
2019-01-21 00:04:34,00:04:34,52
2019-01-21 00:04:44,00:04:44,53
2019-01-21 00:04:59,00:04:59,53
2019-01-21 00:05:04,00:05:04,52
2019-01-21 00:05:19,00:05:19,53
2019-01-21 00:05:24,00:05:24,54
2019-01-21 00:05:29,00:05:29,55
2019-01-21 00:05:39,00:05:39,56
2019-01-21 00:05:49,00:05:49,55
2019-01-21 00:05:54,00:05:54,54
2019-01-21 00:06:04,00:06:04,55
2019-01-21 00:06:14,00:06:14,54
2019-01-21 00:06:19,00:06:19,53
2019-01-21 00:06:24,00:06:24,52
2019-01-21 00:06:29,00:06:29,53
2019-01-21 00:06:34,00:06:34,54
2019-01-21 00:06:44,00:06:44,51
2019-01-21 00:06:49,00:06:49,51
2019-01-21 00:07:04,00:07:04,51
2019-01-21 00:07:09,00:07:09,52
2019-01-21 00:07:14,00:07:14,52
2019-01-21 00:07:29,00:07:29,51
2019-01-21 00:07:44,00:07:44,51
2019-01-21 00:07:49,00:07:49,51
2019-01-21 00:07:59,00:07:59,52
2019-01-21 00:08:04,00:08:04,52
2019-01-21 00:08:14,00:08:14,51
2019-01-21 00:08:19,00:08:19,52
2019-01-21 00:08:29,00:08:29,51
2019-01-21 00:08:44,00:08:44,51
2019-01-21 00:08:49,00:08:49,52
2019-01-21 00:09:04,00:09:04,63
2019-01-21 00:09:09,00:09:09,77
2019-01-21 00:09:19,00:09:19,67
2019-01-21 00:09:24,00:09:24,61
2019-01-21 00:09:29,00:09:29,53
2019-01-21 00:09:34,00:09:34,50
2019-01-21 00:09:39,00:09:39,49
2019-01-21 00:09:49,00:09:49,48
2019-01-21 00:10:04,00:10:04,48
2019-01-21 00:10:19,00:10:19,48
2019-01-21 00:10:34,00:10:34,48
2019-01-21 00:10:39,00:10:39,49
2019-01-21 00:10:54,00:10:54,50
2019-01-21 00:10:59,00:10:59,50
2019-01-21 00:11:04,00:11:04,50
2019-01-21 00:11:14,00:11:14,54
2019-01-21 00:11:19,00:11:19,57
2019-01-21 00:11:24,00:11:24,53
2019-01-21 00:11:29,00:11:29,51
2019-01-21 00:11:34,00:11:34,49
2019-01-21 00:11:44,00:11:44,48
2019-01-21 00:11:49,00:11:49,49
2019-01-21 00:12:04,00:12:04,49
2019-01-21 00:12:09,00:12:09,50
2019-01-21 00:12:24,00:12:24,50
2019-01-21 00:12:29,00:12:29,52
2019-01-21 00:12:34,00:12:34,53
2019-01-21 00:12:44,00:12:44,54
2019-01-21 00:12:49,00:12:49,60
2019-01-21 00:12:54,00:12:54,63
2019-01-21 00:12:59,00:12:59,65
2019-01-21 00:13:04,00:13:04,63
2019-01-21 00:13:09,00:13:09,58
2019-01-21 00:13:14,00:13:14,54
2019-01-21 00:13:19,00:13:19,53
2019-01-21 00:13:24,00:13:24,52
2019-01-21 00:13:29,00:13:29,50
2019-01-21 00:13:34,00:13:34,48
2019-01-21 00:13:39,00:13:39,46
2019-01-21 00:13:54,00:13:54,46
2019-01-21 00:13:55,00:13:55,46
2019-01-21 00:14:05,00:14:05,47
2019-01-21 00:14:20,00:14:20,48
2019-01-21 00:14:25,00:14:25,47
2019-01-21 00:14:40,00:14:40,48
2019-01-21 00:14:45,00:14:45,49
2019-01-21 00:14:55,00:14:55,50
2019-01-21 00:15:10,00:15:10,49
2019-01-21 00:15:20,00:15:20,50
2019-01-21 00:15:35,00:15:35,51
2019-01-21 00:15:50,00:15:50,50
2019-01-21 00:16:05,00:16:05,49
2019-01-21 00:16:10,00:16:10,48
2019-01-21 00:16:25,00:16:25,48
2019-01-21 00:16:35,00:16:35,47
2019-01-21 00:16:50,00:16:50,47
2019-01-21 00:17:05,00:17:05,48
2019-01-21 00:17:15,00:17:15,49
2019-01-21 00:17:20,00:17:20,51
2019-01-21 00:17:35,00:17:35,51
2019-01-21 00:17:50,00:17:50,50
2019-01-21 00:17:55,00:17:55,49
2019-01-21 00:18:00,00:18:00,48
2019-01-21 00:18:15,00:18:15,49
2019-01-21 00:18:20,00:18:20,50
2019-01-21 00:18:25,00:18:25,51
2019-01-21 00:18:30,00:18:30,52
2019-01-21 00:18:35,00:18:35,52
2019-01-21 00:18:50,00:18:50,51
2019-01-21 00:18:55,00:18:55,50
2019-01-21 00:19:00,00:19:00,49
2019-01-21 00:19:05,00:19:05,48
2019-01-21 00:19:10,00:19:10,47
2019-01-21 00:19:15,00:19:15,47
2019-01-21 00:19:20,00:19:20,48
2019-01-21 00:19:25,00:19:25,49
2019-01-21 00:19:40,00:19:40,49
2019-01-21 00:19:50,00:19:50,50
2019-01-21 00:20:00,00:20:00,49
2019-01-21 00:20:10,00:20:10,50
2019-01-21 00:20:25,00:20:25,50
2019-01-21 00:20:35,00:20:35,49
2019-01-21 00:20:40,00:20:40,47
2019-01-21 00:20:50,00:20:50,48
2019-01-21 00:20:55,00:20:55,49
2019-01-21 00:21:10,00:21:10,49
2019-01-21 00:21:25,00:21:25,49
2019-01-21 00:21:35,00:21:35,49
2019-01-21 00:21:40,00:21:40,48
2019-01-21 00:21:45,00:21:45,49
2019-01-21 00:22:00,00:22:00,49
2019-01-21 00:22:10,00:22:10,50
2019-01-21 00:22:25,00:22:25,50
2019-01-21 00:22:26,00:22:26,51
2019-01-21 00:22:31,00:22:31,51
2019-01-21 00:22:41,00:22:41,54
2019-01-21 00:22:46,00:22:46,53
2019-01-21 00:22:51,00:22:51,51
2019-01-21 00:22:56,00:22:56,50
2019-01-21 00:23:01,00:23:01,49
2019-01-21 00:23:16,00:23:16,50
2019-01-21 00:23:31,00:23:31,49
2019-01-21 00:23:41,00:23:41,48
2019-01-21 00:23:51,00:23:51,49
2019-01-21 00:23:56,00:23:56,50
2019-01-21 00:24:01,00:24:01,49
2019-01-21 00:24:16,00:24:16,48
2019-01-21 00:24:21,00:24:21,47
2019-01-21 00:24:31,00:24:31,48
2019-01-21 00:24:36,00:24:36,49
2019-01-21 00:24:46,00:24:46,50
2019-01-21 00:24:51,00:24:51,49
2019-01-21 00:24:56,00:24:56,48
2019-01-21 00:25:01,00:25:01,49
2019-01-21 00:25:11,00:25:11,48
2019-01-21 00:25:26,00:25:26,48
2019-01-21 00:25:36,00:25:36,49
2019-01-21 00:25:46,00:25:46,47
2019-01-21 00:25:56,00:25:56,48
2019-01-21 00:26:01,00:26:01,49
2019-01-21 00:26:06,00:26:06,50
2019-01-21 00:26:11,00:26:11,48
2019-01-21 00:26:26,00:26:26,48
2019-01-21 00:26:31,00:26:31,49
2019-01-21 00:26:46,00:26:46,48
2019-01-21 00:26:56,00:26:56,50
2019-01-21 00:27:01,00:27:01,49
2019-01-21 00:27:06,00:27:06,48
2019-01-21 00:27:11,00:27:11,47
2019-01-21 00:27:21,00:27:21,48
2019-01-21 00:27:26,00:27:26,47
2019-01-21 00:27:36,00:27:36,49
2019-01-21 00:27:41,00:27:41,48
2019-01-21 00:27:51,00:27:51,49
2019-01-21 00:28:01,00:28:01,48
2019-01-21 00:28:16,00:28:16,48
2019-01-21 00:29:58,00:29:58,48
2019-01-21 00:30:08,00:30:08,49
2019-01-21 00:30:13,00:30:13,50
