,time,value
2019-01-18 00:00:07,00:00:07,52
2019-01-18 00:00:17,00:00:17,54
2019-01-18 00:00:22,00:00:22,53
2019-01-18 00:00:27,00:00:27,51
2019-01-18 00:00:32,00:00:32,51
2019-01-18 00:00:37,00:00:37,52
2019-01-18 00:00:42,00:00:42,53
2019-01-18 00:00:47,00:00:47,53
2019-01-18 00:01:02,00:01:02,53
2019-01-18 00:01:17,00:01:17,53
2019-01-18 00:01:27,00:01:27,54
2019-01-18 00:01:32,00:01:32,55
2019-01-18 00:01:37,00:01:37,57
2019-01-18 00:01:42,00:01:42,59
2019-01-18 00:01:47,00:01:47,60
2019-01-18 00:01:52,00:01:52,63
2019-01-18 00:02:02,00:02:02,60
2019-01-18 00:02:07,00:02:07,58
2019-01-18 00:02:12,00:02:12,55
2019-01-18 00:02:17,00:02:17,51
2019-01-18 00:02:22,00:02:22,50
2019-01-18 00:02:32,00:02:32,51
2019-01-18 00:02:37,00:02:37,54
2019-01-18 00:02:42,00:02:42,61
2019-01-18 00:02:47,00:02:47,62
2019-01-18 00:02:57,00:02:57,61
2019-01-18 00:03:12,00:03:12,63
2019-01-18 00:03:22,00:03:22,64
2019-01-18 00:03:27,00:03:27,65
2019-01-18 00:03:37,00:03:37,64
2019-01-18 00:03:47,00:03:47,65
2019-01-18 00:04:02,00:04:02,66
2019-01-18 00:04:07,00:04:07,67
2019-01-18 00:04:17,00:04:17,64
2019-01-18 00:04:32,00:04:32,64
2019-01-18 00:04:47,00:04:47,66
2019-01-18 00:04:57,00:04:57,61
2019-01-18 00:05:02,00:05:02,60
2019-01-18 00:05:12,00:05:12,58
2019-01-18 00:05:17,00:05:17,52
2019-01-18 00:05:22,00:05:22,51
2019-01-18 00:05:27,00:05:27,50
2019-01-18 00:05:32,00:05:32,49
2019-01-18 00:05:42,00:05:42,50
2019-01-18 00:05:47,00:05:47,52
2019-01-18 00:05:52,00:05:52,53
2019-01-18 00:05:57,00:05:57,54
2019-01-18 00:06:02,00:06:02,56
2019-01-18 00:06:07,00:06:07,59
2019-01-18 00:06:12,00:06:12,60
2019-01-18 00:06:22,00:06:22,61
2019-01-18 00:06:27,00:06:27,63
2019-01-18 00:06:32,00:06:32,64
2019-01-18 00:06:37,00:06:37,65
2019-01-18 00:06:42,00:06:42,68
2019-01-18 00:06:47,00:06:47,67
2019-01-18 00:07:02,00:07:02,67
2019-01-18 00:07:17,00:07:17,59
2019-01-18 00:07:22,00:07:22,56
2019-01-18 00:07:37,00:07:37,55
2019-01-18 00:07:42,00:07:42,55
2019-01-18 00:07:47,00:07:47,54
2019-01-18 00:07:57,00:07:57,53
2019-01-18 00:08:12,00:08:12,53
2019-01-18 00:08:27,00:08:27,53
2019-01-18 00:08:32,00:08:32,56
2019-01-18 00:08:37,00:08:37,58
2019-01-18 00:08:52,00:08:52,58
2019-01-18 00:08:54,00:08:54,60
2019-01-18 00:08:59,00:08:59,61
2019-01-18 00:09:04,00:09:04,60
2019-01-18 00:09:09,00:09:09,61
2019-01-18 00:09:14,00:09:14,62
2019-01-18 00:09:19,00:09:19,64
2019-01-18 00:09:24,00:09:24,65
2019-01-18 00:09:29,00:09:29,71
2019-01-18 00:09:34,00:09:34,69
2019-01-18 00:09:39,00:09:39,64
2019-01-18 00:09:44,00:09:44,55
2019-01-18 00:09:54,00:09:54,56
2019-01-18 00:10:04,00:10:04,55
2019-01-18 00:10:09,00:10:09,53
2019-01-18 00:10:14,00:10:14,52
2019-01-18 00:10:24,00:10:24,59
2019-01-18 00:10:29,00:10:29,61
2019-01-18 00:10:39,00:10:39,60
2019-01-18 00:10:44,00:10:44,59
2019-01-18 00:10:49,00:10:49,58
2019-01-18 00:10:54,00:10:54,57
2019-01-18 00:11:09,00:11:09,55
2019-01-18 00:11:14,00:11:14,53
2019-01-18 00:11:19,00:11:19,52
2019-01-18 00:11:24,00:11:24,51
2019-01-18 00:11:29,00:11:29,51
2019-01-18 00:11:34,00:11:34,53
2019-01-18 00:11:39,00:11:39,54
2019-01-18 00:11:49,00:11:49,55
2019-01-18 00:11:59,00:11:59,54
2019-01-18 00:12:04,00:12:04,54
2019-01-18 00:12:09,00:12:09,53
2019-01-18 00:12:14,00:12:14,54
2019-01-18 00:12:19,00:12:19,55
2019-01-18 00:12:24,00:12:24,54
2019-01-18 00:12:39,00:12:39,54
2019-01-18 00:12:54,00:12:54,55
2019-01-18 00:12:59,00:12:59,56
2019-01-18 00:13:04,00:13:04,57
2019-01-18 00:13:09,00:13:09,58
2019-01-18 00:13:14,00:13:14,59
