,time,value
2019-01-02 00:00:01,00:00:01,71
2019-01-02 00:00:11,00:00:11,64
2019-01-02 00:00:16,00:00:16,61
2019-01-02 00:00:21,00:00:21,61
2019-01-02 00:00:26,00:00:26,60
2019-01-02 00:00:31,00:00:31,56
2019-01-02 00:00:36,00:00:36,52
2019-01-02 00:00:51,00:00:51,52
2019-01-02 00:00:56,00:00:56,53
2019-01-02 00:01:01,00:01:01,54
2019-01-02 00:01:06,00:01:06,55
2019-01-02 00:01:11,00:01:11,56
2019-01-02 00:01:16,00:01:16,55
2019-01-02 00:01:31,00:01:31,55
2019-01-02 00:01:36,00:01:36,52
2019-01-02 00:01:41,00:01:41,51
2019-01-02 00:01:46,00:01:46,56
2019-01-02 00:01:51,00:01:51,58
2019-01-02 00:01:56,00:01:56,56
2019-01-02 00:02:04,00:02:04,53
2019-01-02 00:02:09,00:02:09,54
2019-01-02 00:02:19,00:02:19,60
2019-01-02 00:02:24,00:02:24,69
2019-01-02 00:02:29,00:02:29,71
2019-01-02 00:02:34,00:02:34,70
2019-01-02 00:02:39,00:02:39,65
2019-01-02 00:02:44,00:02:44,55
2019-01-02 00:02:54,00:02:54,59
2019-01-02 00:02:59,00:02:59,56
2019-01-02 00:03:04,00:03:04,53
2019-01-02 00:03:09,00:03:09,50
2019-01-02 00:03:14,00:03:14,49
2019-01-02 00:03:24,00:03:24,51
2019-01-02 00:03:29,00:03:29,54
2019-01-02 00:03:34,00:03:34,54
2019-01-02 00:03:39,00:03:39,52
2019-01-02 00:03:49,00:03:49,51
2019-01-02 00:03:54,00:03:54,50
2019-01-02 00:03:59,00:03:59,50
2019-01-02 00:04:04,00:04:04,50
2019-01-02 00:04:09,00:04:09,53
2019-01-02 00:04:14,00:04:14,54
2019-01-02 00:04:19,00:04:19,53
2019-01-02 00:04:24,00:04:24,52
2019-01-02 00:04:30,00:04:30,52
2019-01-02 00:04:35,00:04:35,51
2019-01-02 00:04:50,00:04:50,52
2019-01-02 00:04:55,00:04:55,53
2019-01-02 00:05:00,00:05:00,56
2019-01-02 00:05:05,00:05:05,57
2019-01-02 00:05:20,00:05:20,64
2019-01-02 00:05:25,00:05:25,69
2019-01-02 00:05:30,00:05:30,67
2019-01-02 00:05:35,00:05:35,62
2019-01-02 00:05:40,00:05:40,60
2019-01-02 00:05:45,00:05:45,59
2019-01-02 00:05:50,00:05:50,61
2019-01-02 00:06:00,00:06:00,57
2019-01-02 00:06:05,00:06:05,54
2019-01-02 00:06:10,00:06:10,52
2019-01-02 00:06:25,00:06:25,51
2019-01-02 00:06:35,00:06:35,51
2019-01-02 00:06:40,00:06:40,52
2019-01-02 00:06:45,00:06:45,53
2019-01-02 00:07:00,00:07:00,55
2019-01-02 00:07:05,00:07:05,60
2019-01-02 00:07:10,00:07:10,59
2019-01-02 00:07:15,00:07:15,57
2019-01-02 00:07:20,00:07:20,56
2019-01-02 00:07:25,00:07:25,54
2019-01-02 00:07:30,00:07:30,53
2019-01-02 00:07:35,00:07:35,53
2019-01-02 00:07:40,00:07:40,56
2019-01-02 00:07:45,00:07:45,57
2019-01-02 00:07:50,00:07:50,54
2019-01-02 00:07:55,00:07:55,51
2019-01-02 00:08:00,00:08:00,51
2019-01-02 00:08:05,00:08:05,51
2019-01-02 00:08:10,00:08:10,52
2019-01-02 00:08:20,00:08:20,53
2019-01-02 00:08:35,00:08:35,53
2019-01-02 00:08:40,00:08:40,52
2019-01-02 00:08:45,00:08:45,52
2019-01-02 00:08:50,00:08:50,52
2019-01-02 00:08:55,00:08:55,53
2019-01-02 00:09:00,00:09:00,54
2019-01-02 00:09:15,00:09:15,54
2019-01-02 00:09:25,00:09:25,53
2019-01-02 00:09:35,00:09:35,54
2019-01-02 00:09:40,00:09:40,52
2019-01-02 00:09:55,00:09:55,52
2019-01-02 00:10:00,00:10:00,51
2019-01-02 00:10:10,00:10:10,50
2019-01-02 00:10:25,00:10:25,50
2019-01-02 00:10:40,00:10:40,50
2019-01-02 00:10:55,00:10:55,50
2019-01-02 00:11:10,00:11:10,50
2019-01-02 00:11:15,00:11:15,51
2019-01-02 00:11:20,00:11:20,51
2019-01-02 00:11:25,00:11:25,50
2019-01-02 00:11:40,00:11:40,50
2019-01-02 00:11:45,00:11:45,52
2019-01-02 00:11:50,00:11:50,54
2019-01-02 00:11:55,00:11:55,55
2019-01-02 00:12:00,00:12:00,54
2019-01-02 00:12:05,00:12:05,53
2019-01-02 00:12:10,00:12:10,52
2019-01-02 00:12:20,00:12:20,51
2019-01-02 00:12:25,00:12:25,51
2019-01-02 00:12:30,00:12:30,51
2019-01-02 00:12:35,00:12:35,52
2019-01-02 00:12:40,00:12:40,52
2019-01-02 00:12:45,00:12:45,52
2019-01-02 00:12:50,00:12:50,51
2019-01-02 00:13:00,00:13:00,52
2019-01-02 00:13:10,00:13:10,53
2019-01-02 00:13:25,00:13:25,52
2019-01-02 00:13:35,00:13:35,54
2019-01-02 00:13:45,00:13:45,51
2019-01-02 00:13:50,00:13:50,50
2019-01-02 00:13:55,00:13:55,50
2019-01-02 00:14:00,00:14:00,51
2019-01-02 00:14:10,00:14:10,49
2019-01-02 00:14:25,00:14:25,48
2019-01-02 00:14:40,00:14:40,50
2019-01-02 00:14:45,00:14:45,53
2019-01-02 00:14:50,00:14:50,54
2019-01-02 00:14:55,00:14:55,58
2019-01-02 00:15:00,00:15:00,57
2019-01-02 00:15:05,00:15:05,54
2019-01-02 00:15:10,00:15:10,52
2019-01-02 00:15:15,00:15:15,50
2019-01-02 00:15:25,00:15:25,49
2019-01-02 00:15:35,00:15:35,48
2019-01-02 00:15:45,00:15:45,49
2019-01-02 00:15:50,00:15:50,50
2019-01-02 00:15:55,00:15:55,49
2019-01-02 00:16:10,00:16:10,49
2019-01-02 00:16:15,00:16:15,50
2019-01-02 00:16:30,00:16:30,50
